seed,condition,checkpoint,world,map_seed,success,steps,base_return,shaped_return,parameter_hash
0,shortest_path,posthoc_reference,A,900000,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900001,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900002,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900003,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900004,1,1,0.99,1.03,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900005,1,2,0.98,1.0612,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900006,1,2,0.98,1.0612,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900007,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900008,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900009,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900010,1,4,0.96,1.1272,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900011,1,1,0.99,1.03,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900012,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900013,1,6,0.94,1.198,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900014,1,2,0.98,1.0612,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,A,900015,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,random_actions,posthoc_reference,A,900000,1,25,0.7499999999999999,1.0388000000000002,random-actions-seed-0-map-900000
0,random_actions,posthoc_reference,A,900001,0,32,-0.3200000000000001,0.026800000000000268,random-actions-seed-0-map-900001
0,random_actions,posthoc_reference,A,900002,0,32,-0.3200000000000001,-0.06559999999999983,random-actions-seed-0-map-900002
0,random_actions,posthoc_reference,A,900003,0,32,-0.3200000000000001,0.04680000000000015,random-actions-seed-0-map-900003
0,random_actions,posthoc_reference,A,900004,1,4,0.96,1.0036,random-actions-seed-0-map-900004
0,random_actions,posthoc_reference,A,900005,1,7,0.9299999999999999,1.0172,random-actions-seed-0-map-900005
0,random_actions,posthoc_reference,A,900006,0,32,-0.3200000000000001,-0.1403999999999999,random-actions-seed-0-map-900006
0,random_actions,posthoc_reference,A,900007,0,32,-0.3200000000000001,-0.1303999999999999,random-actions-seed-0-map-900007
0,random_actions,posthoc_reference,A,900008,1,6,0.94,1.1532,random-actions-seed-0-map-900008
0,random_actions,posthoc_reference,A,900009,0,32,-0.3200000000000001,0.04560000000000011,random-actions-seed-0-map-900009
0,random_actions,posthoc_reference,A,900010,0,32,-0.3200000000000001,-0.024399999999999922,random-actions-seed-0-map-900010
0,random_actions,posthoc_reference,A,900011,1,21,0.7899999999999999,0.9068000000000002,random-actions-seed-0-map-900011
0,random_actions,posthoc_reference,A,900012,0,32,-0.3200000000000001,-0.04159999999999983,random-actions-seed-0-map-900012
0,random_actions,posthoc_reference,A,900013,0,32,-0.3200000000000001,0.10600000000000012,random-actions-seed-0-map-900013
0,random_actions,posthoc_reference,A,900014,1,26,0.74,0.9004000000000001,random-actions-seed-0-map-900014
