seed,condition,checkpoint,world,map_seed,success,steps,base_return,shaped_return,parameter_hash
0,untrained,untrained,A,910000,0,32,-0.3200000000000001,-0.02399999999999991,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910001,0,32,-0.3200000000000001,-0.007199999999999929,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910002,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910003,0,32,-0.3200000000000001,-0.1267999999999999,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910004,1,1,0.99,1.03,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910005,0,32,-0.3200000000000001,0.056000000000000105,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910006,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910007,0,32,-0.3200000000000001,0.026000000000000162,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910008,1,1,0.99,1.03,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910009,0,32,-0.3200000000000001,0.36480000000000035,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910010,0,32,-0.3200000000000001,0.028800000000000145,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910011,0,32,-0.3200000000000001,0.02760000000000014,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910012,0,32,-0.3200000000000001,-0.057600000000000096,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910013,0,32,-0.3200000000000001,0.10200000000000009,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910014,0,32,-0.3200000000000001,-0.057600000000000096,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910015,0,32,-0.3200000000000001,-0.2428,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910016,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910017,0,32,-0.3200000000000001,-0.12559999999999988,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910018,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910019,0,32,-0.3200000000000001,0.1032000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910020,0,32,-0.3200000000000001,-0.1283999999999998,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910021,0,32,-0.3200000000000001,0.06480000000000022,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910022,0,32,-0.3200000000000001,0.22040000000000023,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910023,0,32,-0.3200000000000001,0.1432000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910024,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910025,0,32,-0.3200000000000001,-0.2055999999999999,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910026,0,32,-0.3200000000000001,-0.08839999999999988,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910027,1,3,0.97,1.0936,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910028,0,32,-0.3200000000000001,-0.00839999999999995,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910029,0,32,-0.3200000000000001,0.1432000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910030,0,32,-0.3200000000000001,-0.08959999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,910031,0,32,-0.3200000000000001,0.14200000000000013,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910000,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910001,0,32,-0.3200000000000001,-0.00839999999999995,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910002,0,32,-0.3200000000000001,-0.1283999999999998,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910003,0,32,-0.3200000000000001,-0.08959999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910004,0,32,-0.3200000000000001,-0.13479999999999953,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910005,0,32,-0.3200000000000001,-0.011199999999999766,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910006,0,32,-0.3200000000000001,-0.13199999999999984,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910007,0,32,-0.3200000000000001,0.026000000000000162,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910008,0,32,-0.3200000000000001,-0.2428,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910009,0,32,-0.3200000000000001,0.29760000000000036,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910010,0,32,-0.3200000000000001,0.06600000000000023,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910011,0,32,-0.3200000000000001,0.1032000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910012,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910013,0,32,-0.3200000000000001,-0.07560000000000003,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910014,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
