bank_id,comparison,panel,seed,map_seed,mode,repetition,success_delta,efficient_success_delta,steps_delta,noop_rate_delta
1,uniform_minus_collected,panel_0,0,1020000,greedy,0,0,1,-17,-0.7391304347826086
1,uniform_minus_collected,panel_0,0,1020001,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020002,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020003,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020004,greedy,0,1,1,-31,-1.0
1,uniform_minus_collected,panel_0,0,1020005,greedy,0,0,1,-16,-0.8421052631578947
1,uniform_minus_collected,panel_0,0,1020006,greedy,0,1,1,-30,-0.8125
1,uniform_minus_collected,panel_0,0,1020007,greedy,0,0,0,-7,-0.06586021505376338
1,uniform_minus_collected,panel_0,0,1020008,greedy,0,0,0,0,-0.0625
1,uniform_minus_collected,panel_0,0,1020009,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020011,greedy,0,-1,-1,25,0.90625
1,uniform_minus_collected,panel_0,0,1020012,greedy,0,0,-1,24,0.96
1,uniform_minus_collected,panel_0,0,1020013,greedy,0,-1,-1,22,0.475
1,uniform_minus_collected,panel_0,0,1020014,greedy,0,0,-1,21,0.7777777777777778
1,uniform_minus_collected,panel_0,0,1020015,greedy,0,0,0,22,0.24
1,uniform_minus_collected,panel_0,0,1020016,greedy,0,0,1,-26,-0.8125
1,uniform_minus_collected,panel_0,0,1020017,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020018,greedy,0,0,0,-10,-0.11363636363636365
1,uniform_minus_collected,panel_0,0,1020019,greedy,0,0,1,-19,-0.8095238095238095
1,uniform_minus_collected,panel_0,0,1020020,greedy,0,0,1,-4,-0.6666666666666666
1,uniform_minus_collected,panel_0,0,1020021,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020022,greedy,0,-1,-1,28,0.875
1,uniform_minus_collected,panel_0,0,1020023,greedy,0,0,-1,12,0.0
1,uniform_minus_collected,panel_0,0,1020024,greedy,0,1,1,-26,-0.90625
1,uniform_minus_collected,panel_0,0,1020025,greedy,0,1,1,-29,-0.8125
1,uniform_minus_collected,panel_0,0,1020026,greedy,0,0,0,12,0.8666666666666667
1,uniform_minus_collected,panel_0,0,1020027,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020028,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020029,greedy,0,0,0,0,0.0625
1,uniform_minus_collected,panel_0,0,1020030,greedy,0,1,0,-3,-0.1724137931034483
1,uniform_minus_collected,panel_0,0,1020031,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020032,greedy,0,0,1,-22,-0.9166666666666666
1,uniform_minus_collected,panel_0,0,1020033,greedy,0,1,0,-7,0.41125
1,uniform_minus_collected,panel_0,0,1020034,greedy,0,1,0,-16,-0.34375
1,uniform_minus_collected,panel_0,0,1020035,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020036,greedy,0,0,1,-9,-0.8181818181818182
1,uniform_minus_collected,panel_0,0,1020037,greedy,0,1,1,-23,-0.96875
1,uniform_minus_collected,panel_0,0,1020038,greedy,0,-1,0,8,-0.46875
1,uniform_minus_collected,panel_0,0,1020039,greedy,0,1,0,-4,-0.25
1,uniform_minus_collected,panel_0,0,1020040,greedy,0,0,1,-23,-0.6071428571428571
1,uniform_minus_collected,panel_0,0,1020041,greedy,0,0,0,-7,-0.025925925925925908
1,uniform_minus_collected,panel_0,0,1020042,greedy,0,0,1,-12,-0.8571428571428571
1,uniform_minus_collected,panel_0,0,1020043,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020044,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020045,greedy,0,0,-1,6,0.6666666666666666
1,uniform_minus_collected,panel_0,0,1020046,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020047,greedy,0,0,0,15,0.15120967741935487
1,uniform_minus_collected,panel_0,0,1020048,greedy,0,0,0,2,0.21579532814238045
1,uniform_minus_collected,panel_0,0,1020049,greedy,0,1,0,-14,-0.27083333333333337
1,uniform_minus_collected,panel_0,0,1020050,greedy,0,0,1,-21,-0.7307692307692307
1,uniform_minus_collected,panel_0,0,1020051,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020052,greedy,0,0,1,-24,-0.9230769230769231
1,uniform_minus_collected,panel_0,0,1020053,greedy,0,-1,-1,27,0.96875
1,uniform_minus_collected,panel_0,0,1020054,greedy,0,0,0,-8,-0.13333333333333341
1,uniform_minus_collected,panel_0,0,1020055,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020056,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020057,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020058,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020059,greedy,0,1,1,-28,-0.875
1,uniform_minus_collected,panel_0,0,1020060,greedy,0,0,0,1,0.791871921182266
1,uniform_minus_collected,panel_0,0,1020061,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020062,greedy,0,0,0,0,0.0
1,uniform_minus_collected,panel_0,0,1020063,greedy,0,-1,-1,27,0.9375
1,uniform_minus_collected,panel_0,0,1020064,greedy,0,0,0,0,0.0
