bank_id,condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
shared,shared,random_actions,0,30000,1,reference,panel_0,1020000,9c19af0a87518c4ba1b6831cb86a6e14dbb4d2ad0f22d78ce5c12c013bff3eae,0,0,32,-0.3200000000000001,0.09040000000000009,13,19,8,12,31,11,1,1.8900372318729008,0.0,0,,random_actions,random_actions:panel_0:0:1020000:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020000,9c19af0a87518c4ba1b6831cb86a6e14dbb4d2ad0f22d78ce5c12c013bff3eae,1,1,29,0.71,1.1072000000000002,13,16,9,8,29,11,0,0.8074043104931617,0.0,0,,random_actions,random_actions:panel_0:0:1020000:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020001,c98116acd255e38a326a2f6e2ad1d6a645a73c1c8e703a3b942814700e880299,0,0,32,-0.3200000000000001,-0.17919999999999986,18,14,7,8,29,4,1,2.0846090600000022,0.0,0,,random_actions,random_actions:panel_0:0:1020001:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020001,c98116acd255e38a326a2f6e2ad1d6a645a73c1c8e703a3b942814700e880299,1,1,14,0.86,0.9504,1,13,4,10,14,7,0,0.4825129115140008,0.0,0,,random_actions,random_actions:panel_0:0:1020001:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020002,90907afd6c54d0e4b7a9a3b39cc4b4d1265e2382dc76c1716413ca484ec6944c,0,1,7,0.9299999999999999,1.0244,1,6,1,6,7,4,0,0.19142546000000038,0.0,0,,random_actions,random_actions:panel_0:0:1020002:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020002,90907afd6c54d0e4b7a9a3b39cc4b4d1265e2382dc76c1716413ca484ec6944c,1,0,32,-0.3200000000000001,-0.06599999999999985,10,22,13,10,28,8,1,1.9548398876014943,0.0,0,,random_actions,random_actions:panel_0:0:1020002:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020003,6f45370f67e8c74f5e936991385eb2968e7684c4f26e03b170453ab8adb06fc7,0,0,32,-0.3200000000000001,-0.09559999999999994,4,28,18,11,30,13,1,2.032663133157002,0.0,0,,random_actions,random_actions:panel_0:0:1020003:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020003,6f45370f67e8c74f5e936991385eb2968e7684c4f26e03b170453ab8adb06fc7,1,0,32,-0.3200000000000001,-0.0619999999999999,9,23,15,9,29,10,1,1.9737909980850015,0.0,0,,random_actions,random_actions:panel_0:0:1020003:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020004,40cffee73c706d65a2c28705989ff84b3d71df0e10abae67aa1522a70745feb3,0,1,1,0.99,1.03,0,1,0,2,1,1,0,0.0,0.0,0,,random_actions,random_actions:panel_0:0:1020004:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020004,40cffee73c706d65a2c28705989ff84b3d71df0e10abae67aa1522a70745feb3,1,1,16,0.84,0.9112,5,11,5,7,16,6,0,0.5824347300000011,0.0,0,,random_actions,random_actions:panel_0:0:1020004:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020005,25c09c7470631e431b14fbfb020b614e78e88b4116d15624408b63bcd71d81cc,0,0,32,-0.3200000000000001,0.025600000000000178,9,23,11,13,26,7,1,1.8334338247567523,0.0,0,,random_actions,random_actions:panel_0:0:1020005:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020005,25c09c7470631e431b14fbfb020b614e78e88b4116d15624408b63bcd71d81cc,1,0,32,-0.3200000000000001,-0.09319999999999988,8,24,16,9,31,12,1,2.056090757457002,0.0,0,,random_actions,random_actions:panel_0:0:1020005:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020006,80bbe5494d93268e202a106b6fb8b8602f408948435f028d93b2e7b0e5c6edff,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.0,0,,random_actions,random_actions:panel_0:0:1020006:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020006,80bbe5494d93268e202a106b6fb8b8602f408948435f028d93b2e7b0e5c6edff,1,0,32,-0.3200000000000001,-0.1187999999999999,9,23,12,12,29,9,1,2.0313913291000016,0.0,0,,random_actions,random_actions:panel_0:0:1020006:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020007,b1c7587d4ab70f72591566f9a9e24e980a90635203cb6a771c2690e5e47d7ab0,0,1,27,0.73,1.1480000000000001,10,17,7,11,27,12,0,0.7101833918101327,0.0,0,,random_actions,random_actions:panel_0:0:1020007:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020007,b1c7587d4ab70f72591566f9a9e24e980a90635203cb6a771c2690e5e47d7ab0,1,0,32,-0.3200000000000001,0.10640000000000008,11,21,13,9,30,12,1,1.8498373261111323,0.0,0,,random_actions,random_actions:panel_0:0:1020007:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020008,feead6e7bddad13f12fa8fd7eddc6989329cbe314b989731eaa46c3c64f1eb6f,0,1,13,0.87,1.2160000000000002,2,11,2,10,13,9,0,0.20692219965223257,0.0,0,,random_actions,random_actions:panel_0:0:1020008:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020008,feead6e7bddad13f12fa8fd7eddc6989329cbe314b989731eaa46c3c64f1eb6f,1,0,32,-0.3200000000000001,0.11720000000000011,8,24,15,10,29,12,1,1.815669980913552,0.0,0,,random_actions,random_actions:panel_0:0:1020008:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1020009,ac670dccf17083f8b3eb127c7e5198712f88c7acee092942f73128f6381bd9e1,0,1,12,0.88,1.0712000000000002,0,12,5,8,12,8,0,0.30352130810000066,0.0,0,,random_actions,random_actions:panel_0:0:1020009:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1020009,ac670dccf17083f8b3eb127c7e5198712f88c7acee092942f73128f6381bd9e1,1,0,32,-0.3200000000000001,-0.0279999999999999,5,27,17,11,31,14,1,1.9950214962482915,0.0,0,,random_actions,random_actions:panel_0:0:1020009:1
