condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
fixed_1,learner,0,0,1,greedy,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,0,0,32,-0.3200000000000001,-0.1283999999999998,31,1,0,2,30,0,1,2.062667170000002,30.104706081850843,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,0,0,32,-0.3200000000000001,-0.1499999999999999,30,2,0,3,31,1,1,2.110251490000003,29.72191364502041,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,1,0,32,-0.3200000000000001,-0.12959999999999983,28,4,2,3,30,1,1,2.063822440000002,30.086424155017802,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,2,0,32,-0.3200000000000001,-0.1283999999999998,31,1,0,2,30,0,1,2.062667170000002,30.104706081850843,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,3,0,32,-0.3200000000000001,-0.1283999999999998,31,1,0,2,30,0,1,2.062667170000002,30.104706081850843,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,4,0,32,-0.3200000000000001,-0.14039999999999986,30,2,0,3,31,1,1,2.101009330000003,30.008061524344477,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,5,0,32,-0.3200000000000001,-0.13079999999999986,29,3,2,2,30,1,1,2.0649777100000026,30.068993236294517,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,6,0,32,-0.3200000000000001,-0.13319999999999982,30,2,0,3,31,1,1,2.0940777100000023,30.2257953870699,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,epsilon_0_1,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,7,0,32,-0.3200000000000001,-0.1439999999999999,29,3,0,4,30,1,1,2.0776856800000028,29.09145837100286,32,0.9952237482845233,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920000,ceaea61c4ec50e720770ee1de791253b514c55e5c3937e49adaa65303a709b78,0,0,32,-0.3200000000000001,-0.16559999999999986,32,0,0,1,31,0,1,2.125270000000004,31.264671977128256,32,1.0200180907891987,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920001,403ae7f81bd596df5971a89d5f9681b4e4c63ba8ae21056e5b047caff9265257,0,0,32,-0.3200000000000001,-0.08839999999999988,32,0,0,1,30,0,1,2.0241581700000024,29.042060088710404,32,0.998327230597176,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920002,97606beadb5d41428e85a8c12827ac3a281b927f77400aaa6d4283e37a5ab414,0,0,32,-0.3200000000000001,0.1432000000000001,32,0,0,1,27,0,1,1.7451192870275363,28.690454243273848,32,1.0390192464350996,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920003,47789bbd4b9c8422e1330fa43d64fbf01c7942b809a27ade043c1a499092edc0,0,0,32,-0.3200000000000001,0.1032000000000001,31,1,0,2,27,0,1,1.7802654115845367,28.252525379517586,32,1.0234250412932038,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920004,1d01947d4d34e11ccaaedcd5cf69ed19343487dd91382ee4d715a4439637fb70,0,0,32,-0.3200000000000001,-0.011199999999999766,32,0,0,1,29,0,1,1.9272003067999988,29.280245743431607,32,1.020751821708738,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920005,133882542e33edec41fb6dc14b4b14895f4bc400d58a7850d1db75e0b3c6394e,0,0,32,-0.3200000000000001,-0.05119999999999966,31,1,0,2,29,0,1,1.9645540367999987,29.623373773324946,32,1.0005372595751019,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920006,bdd27283401ea3fba79cca06a6593fc81fda552224ffd93c86b658382d0bcc68,0,1,3,0.97,1.0936,0,3,0,4,3,3,0,0.0,2.9568384725047823,3,0.9922043732649464,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920007,db4beef059712c22fbab14aad4d0caae11134901d93351715b1eefc95763784e,0,0,32,-0.3200000000000001,-0.08959999999999986,30,2,0,3,30,1,1,2.0253134400000024,29.956284800622996,32,1.0005303128400178,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920008,52845914f9bbb8d51c3d7879d2c8a45f2f3ed0c3c6611388285532d967861a6e,0,1,1,0.99,1.03,0,1,0,2,1,1,0,0.0,0.9846871718393564,1,0.9846871718393564,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920009,1696c325e3c128d23d47df80f54af66c5a6551130920ce0e2dbaffeb9a80398d,0,0,32,-0.3200000000000001,0.06200000000000008,30,2,0,3,27,0,1,1.8175529134212467,28.435244010577158,32,1.0119156893345036,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920010,74f4211865d5beb9002404187f7527d2390646d53dc082ccd0d26ae2cb0513fb,0,0,32,-0.3200000000000001,-0.16160000000000005,30,2,0,3,32,2,1,2.1513000000000018,31.073007549920323,32,1.0085162339509757,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920011,75d836dd73de74fa70b7b83707a3b15575af37f25fe3a158dc2c1892b42ae1a8,0,0,32,-0.3200000000000001,-0.2428,32,0,0,1,32,0,1,2.2307000000000023,31.132827726797444,32,1.0039724129580856,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920012,1a8d3e6be7e4ac51ee9a48126cbb37bf156c16b784df2e0336a8db38eab03bc4,0,0,32,-0.3200000000000001,-0.16959999999999986,30,2,0,3,30,0,1,2.1035224400000017,29.162900218042424,32,0.9685345254699589,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920013,f78c0805c561fa1565656c40ab7882779c07450122bd60271bb9ec50b5e18c09,0,0,32,-0.3200000000000001,-0.16959999999999986,30,2,0,3,30,0,1,2.1035224400000017,30.401197287287122,32,0.9899036790804863,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920014,919413bc66f9e5ad02a5fc463d2a706cdd546f148833b0ae211902ff90a8e6e5,0,0,32,-0.3200000000000001,0.1432000000000001,32,0,0,1,27,0,1,1.7451192870275363,27.94625051110473,32,1.023535865177576,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920015,1c092167fec42eaa9e5ff37f82256ecaf61210180e98b47a77015c1164fdace3,0,0,32,-0.3200000000000001,-0.08839999999999988,32,0,0,1,30,0,1,2.0241581700000024,28.998704507418072,32,0.997217950905003,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920016,e20300de761f1966948ff43cc80bb41ce6829db4ba1392633de236faeed01067,0,0,32,-0.3200000000000001,0.11240000000000011,29,3,0,4,29,3,1,1.8185009524999987,28.672077719174677,32,1.0508140026377268,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920017,7501134cef2d7352e65dfce1daff726772c725331ddde4a6c3ad1bbf39ef734d,0,0,32,-0.3200000000000001,0.1472000000000001,30,2,0,3,28,2,1,1.7639459239250042,27.863824071384325,32,0.9967086277731572,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920018,ba826a49e8957c98809360d40e207e9a57254d16e98c9e87a253fe85069ae96c,0,0,32,-0.3200000000000001,-0.16959999999999986,30,2,0,3,30,0,1,2.1035224400000017,29.511521103810125,32,0.9785005655000807,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920019,e6599f344ca5def1cf14f5dd85b0b2c460f8b937acf4f6608436f39e16972946,0,0,32,-0.3200000000000001,0.1432000000000001,32,0,0,1,27,0,1,1.7451192870275363,27.595206268368777,32,1.0121266430292173,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920020,ed4a9f309835308f8a8c70c705bebab51c0c803363b7bd2fce382775143e1996,0,0,32,-0.3200000000000001,0.06200000000000008,30,2,0,3,27,0,1,1.8175529134212467,29.020987961224478,32,1.0222335438917747,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920021,ae1474d1144dfd669f652eec4986a72bef99def48a9011ec7d7bf526bd9693a1,0,0,32,-0.3200000000000001,0.10480000000000016,29,3,0,4,28,2,1,1.800179042025004,27.678080199742976,32,1.015665391272043,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920022,f2bf9f1b4dc5b4a4cfce3ba9279d63062849500504facdd053b27ce3bb2ab1ef,0,0,32,-0.3200000000000001,-0.2428,32,0,0,1,32,0,1,2.2307000000000023,30.210959345160592,32,0.9791634976493121,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920023,f8e0c6c8d9ab5b10c340458b465706cb1c44f57ba683d22787c2212550ef6cff,0,0,32,-0.3200000000000001,-0.015199999999999991,30,2,0,3,28,0,1,1.908912014682004,28.371837713904288,32,0.9914126084468144,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920024,4b8fcff973fc1b3a8d6cb0f38c9620d9e163ce7e3a595fb59ea7619619bfee89,0,0,32,-0.3200000000000001,0.06600000000000023,32,0,0,1,28,0,1,1.8342381730390045,29.800641256646525,32,1.0445719191556682,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920025,11c2581bae600aa2607f0315bcf810dd2ce87c5a4da3b0658fc1c38193131346,0,0,32,-0.3200000000000001,0.06480000000000022,30,2,0,3,28,1,1,1.835325166582004,29.1424771214514,32,1.0204747326750012,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920026,0fdc4096dc63235f10e52f526c6b96cd29328876018ddca9f3e2fd5a1e95ca50,0,0,32,-0.3200000000000001,-0.011199999999999766,32,0,0,1,29,0,1,1.9272003067999988,29.615765305123933,32,1.0276660127307646,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920027,ac9529c0722741170cd803af319e57ce2b11ae85592c24b8e0a0e1643e2e6a84,0,0,32,-0.3200000000000001,-0.2428,32,0,0,1,32,0,1,2.2307000000000023,31.30244136625832,32,1.0081359568846375,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920028,1caebbf431ae4df1a45aab46deee6bd86c1b8b818ee058ba40657fa1d7e30c70,0,0,32,-0.3200000000000001,-0.011199999999999766,32,0,0,1,29,0,1,1.9272003067999988,30.233358488671467,32,1.0395539830852574,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920029,885bfbf4d37764f0af8c4444c5a9e9d3640305776ad9b1a113ebb4e6ccef68cc,0,0,32,-0.3200000000000001,0.1432000000000001,32,0,0,1,27,0,1,1.7451192870275363,27.531203232942637,32,1.0131930399734421,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920030,e66f65810b5b977ef3454456884bb0e1180e8dcfa8a6fcfe28fd8778dc8c32e5,0,0,32,-0.3200000000000001,-0.1283999999999998,31,1,0,2,30,0,1,2.062667170000002,29.860267742982547,32,0.9990002310139035,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920031,f9dc676c5a4371df7471f3cadb9dd8899cd1d877b6614879ac84561f66a0ad01,0,0,32,-0.3200000000000001,-0.04959999999999991,29,3,0,4,30,2,1,1.9879597100000022,29.508670719898845,32,0.9933516210138537,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920032,ec03419dfd160e131fc9fb7c6a3938a4c491a510562b170db08767c383d84c0a,0,0,32,-0.3200000000000001,0.1432000000000001,32,0,0,1,27,0,1,1.7451192870275363,29.306985771887955,32,1.05544773659786,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920033,0f1ed95fe94149f791bcae4f44dc103655b9eaf034d36bc7f58fe0d49a7af7f2,0,0,32,-0.3200000000000001,-0.08959999999999986,30,2,0,3,30,1,1,2.0253134400000024,29.74698754876669,32,0.9946115930655559,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920034,7fdd7b56ee798a5a5f4c263da7ea956283b66d09d74f1c5431bbc396a438ab7c,0,0,32,-0.3200000000000001,0.06600000000000023,32,0,0,1,28,0,1,1.8342381730390045,29.74618494081213,32,1.0482019156229652,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920035,12a62c0de4da5fa4711977298f891a920b1c410cc2d22049bf748db850bfdd76,0,0,32,-0.3200000000000001,0.17680000000000023,29,3,0,4,26,1,1,1.696888348827247,26.804555050213732,32,1.021984482927357,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920036,189034e2135db40ec59fc846baf2156bdfd00ece618a0ef0fbc4a0ec23bd5998,0,0,32,-0.3200000000000001,0.06200000000000008,30,2,0,3,27,0,1,1.8175529134212467,28.697726229406562,32,1.0140391759507945,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920037,6807dab2c071dbd02f75f3e69dee0740770c8706e9c185982f1ded82972af2d6,0,0,32,-0.3200000000000001,0.17680000000000023,29,3,0,4,26,1,1,1.696888348827247,27.566883305182564,32,1.0327899491396892,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920038,211ae0b9600d9221ad391f6929d62b883f9388d3e81ed0982f88c55e712e9fb1,0,0,32,-0.3200000000000001,0.019600000000000062,29,3,0,4,27,0,1,1.857048020700957,27.840164663012796,32,1.0116464664005966,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
fixed_1,learner,0,0,1,greedy,heldout,920039,11f678aba7d616fcc7a17aaf8b58b9ceaa5dd486196f02be151ede8603e33edc,0,0,32,-0.3200000000000001,-0.07560000000000003,28,4,0,5,32,4,1,2.071900000000002,30.7466704557961,32,1.0261348384044768,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c,
