condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,0,1,6,0.94,1.0284,2,4,1,4,6,3,0,0.15641800000000028,0.0,0,,random_actions,random_actions:0:200000:0
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,1,1,10,0.9,1.0064,2,8,3,6,10,5,0,0.3022956500000008,0.0,0,,random_actions,random_actions:0:200000:1
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,2,0,32,-0.3200000000000001,-0.12479999999999981,16,16,11,6,31,8,1,2.0866840784710017,0.0,0,,random_actions,random_actions:0:200000:2
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,3,1,7,0.9299999999999999,1.0268,3,4,1,4,7,3,0,0.1890791900000005,0.0,0,,random_actions,random_actions:0:200000:3
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,4,0,32,-0.3200000000000001,-0.14759999999999995,14,18,13,6,30,8,1,2.0812229500000026,0.0,0,,random_actions,random_actions:0:200000:4
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,5,1,14,0.86,0.9796,6,8,3,6,14,5,0,0.4528658400000012,0.0,0,,random_actions,random_actions:0:200000:5
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,6,1,9,0.91,1.0068000000000001,5,4,1,4,9,3,0,0.2707540000000007,0.0,0,,random_actions,random_actions:0:200000:6
fixed_1,random_actions,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,7,0,32,-0.3200000000000001,-0.1644,10,22,18,5,31,10,1,2.1255915700000028,0.0,0,,random_actions,random_actions:0:200000:7
fixed_1,random_actions,1,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,0,1,4,0.96,1.0472000000000001,0,4,0,5,4,3,0,0.07586273000000021,0.0,0,,random_actions,random_actions:1:200000:0
fixed_1,random_actions,1,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,1,0,32,-0.3200000000000001,-0.1716,9,23,19,5,32,12,1,2.1602126500000023,0.0,0,,random_actions,random_actions:1:200000:1
fixed_1,random_actions,1,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,2,1,17,0.83,0.9472,5,12,7,6,17,7,0,0.5778136500000012,0.0,0,,random_actions,random_actions:1:200000:2
fixed_1,random_actions,1,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,3,1,14,0.86,0.9748,6,8,3,6,14,5,0,0.45755838000000104,0.0,0,,random_actions,random_actions:1:200000:3
