seed,map_seed,success,steps,base_return,blocked_steps,position_revisit_steps,winnable_decisions,optimal_fraction_when_winnable,mean_q_regret_when_winnable,mean_absolute_q_error,avoidable_deadline_loss_steps
0,910000,True,2,0.98,0,0,2,1.0,0.0,0.26351232396263113,0
0,910001,False,32,-0.3200000000000001,6,24,30,0.4666666666666667,0.06622588833333339,0.6515778216554151,1
0,910002,False,32,-0.3200000000000001,32,31,31,0.0,0.06855709677419368,0.5712933483585279,1
0,910003,False,32,-0.3200000000000001,31,30,31,0.03225806451612903,0.06731487096774205,0.27397485884696815,1
0,910004,True,7,0.9299999999999999,6,6,7,0.14285714285714285,0.034028571428571484,0.30374205348232813,0
0,910005,False,32,-0.3200000000000001,25,25,30,0.1,0.06559761333666665,0.1789697823062512,1
0,910006,False,32,-0.3200000000000001,5,27,31,0.41935483870967744,0.06905654838709684,0.7751769031956746,1
0,910007,False,32,-0.3200000000000001,10,28,29,0.3793103448275862,0.06611899942310344,0.632628808405574,1
0,910008,True,1,0.99,0,0,1,1.0,0.0,0.24275553963184354,0
0,910009,False,32,-0.3200000000000001,16,26,23,0.30434782608695654,0.06516200110673478,0.4816371447176928,1
0,910010,True,7,0.9299999999999999,0,0,7,0.8571428571428571,0.010837532857142887,0.37290192257504756,0
0,910011,False,32,-0.3200000000000001,29,29,30,0.06666666666666667,0.06498169033333341,0.7905331269814591,1
0,910012,False,32,-0.3200000000000001,13,25,31,0.2903225806451613,0.06882718483870977,0.4409276426762506,1
0,910013,False,32,-0.3200000000000001,29,28,31,0.0967741935483871,0.06483041935483883,0.33990413993966206,1
0,910014,False,32,-0.3200000000000001,23,29,31,0.12903225806451613,0.0687107741935485,0.20747563043210615,1
0,910015,True,1,0.99,0,0,1,1.0,0.0,0.09312256980705258,0
0,910016,False,32,-0.3200000000000001,31,30,32,0.03125,0.06846875000000006,0.4596347142545396,1
0,910017,True,3,0.97,0,0,3,1.0,0.0,0.34324930261081477,0
0,910018,True,2,0.98,0,0,2,1.0,0.0,0.6194567278870964,0
0,910019,False,32,-0.3200000000000001,32,31,28,0.0,0.06550850617996444,0.5733996933698775,1
0,910020,False,32,-0.3200000000000001,31,30,30,0.0,0.06875557233333339,0.6224628381501165,1
0,910021,False,32,-0.3200000000000001,29,28,31,0.0967741935483871,0.06483041935483883,0.6478206215746013,1
0,910022,False,32,-0.3200000000000001,28,27,28,0.10714285714285714,0.062295055637671924,0.4637233472810036,1
0,910023,False,32,-0.3200000000000001,25,24,28,0.14285714285714285,0.0646087186391787,0.47260704812764054,1
0,910024,True,12,0.88,0,10,12,0.5833333333333334,0.03258708333333337,0.3762068426032686,0
0,910025,True,18,0.82,13,16,18,0.16666666666666666,0.036501944444444545,0.4963965112244553,0
0,910026,True,3,0.97,0,0,3,1.0,0.0,0.6047794239659372,0
0,910027,False,32,-0.3200000000000001,30,29,32,0.0625,0.06648375000000009,0.42466114173085656,1
0,910028,False,32,-0.3200000000000001,29,28,31,0.0967741935483871,0.06483041935483883,0.632232971974194,1
0,910029,False,32,-0.3200000000000001,32,31,27,0.0,0.06463404766768653,0.3065999714000001,1
0,910030,False,32,-0.3200000000000001,29,28,29,0.034482758620689655,0.067781884437931,0.8071021478388959,1
0,910031,False,32,-0.3200000000000001,30,29,27,0.037037037037037035,0.06467309891719432,0.47539897395818564,1
