bank_id,comparison,panel,seed,map_seed,mode,repetition,success_delta,efficient_success_delta,steps_delta,noop_rate_delta
1,constrained_minus_recorded,panel_0,0,1100000,greedy,0,-1,-1,20,0.375
1,constrained_minus_recorded,panel_0,0,1100001,greedy,0,0,1,-21,-0.8260869565217391
1,constrained_minus_recorded,panel_0,0,1100002,greedy,0,0,1,-4,-0.6666666666666666
1,constrained_minus_recorded,panel_0,0,1100003,greedy,0,0,0,0,-0.03125
1,constrained_minus_recorded,panel_0,0,1100004,greedy,0,-1,0,5,-0.16435185185185186
1,constrained_minus_recorded,panel_0,0,1100005,greedy,0,0,1,-13,-0.9285714285714286
1,constrained_minus_recorded,panel_0,0,1100006,greedy,0,0,1,-25,-0.7037037037037037
1,constrained_minus_recorded,panel_0,0,1100007,greedy,0,1,1,-31,-0.96875
1,constrained_minus_recorded,panel_0,0,1100008,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100009,greedy,0,1,1,-29,-0.625
1,constrained_minus_recorded,panel_0,0,1100010,greedy,0,-1,-1,28,0.90625
1,constrained_minus_recorded,panel_0,0,1100011,greedy,0,1,1,-31,-0.625
1,constrained_minus_recorded,panel_0,0,1100012,greedy,0,-1,-1,29,0.9375
1,constrained_minus_recorded,panel_0,0,1100013,greedy,0,0,1,-14,0.0
1,constrained_minus_recorded,panel_0,0,1100014,greedy,0,0,0,0,0.0625
1,constrained_minus_recorded,panel_0,0,1100015,greedy,0,0,0,0,-0.125
1,constrained_minus_recorded,panel_0,0,1100016,greedy,0,0,1,-24,-0.9230769230769231
1,constrained_minus_recorded,panel_0,0,1100017,greedy,0,1,1,-29,-0.9375
1,constrained_minus_recorded,panel_0,0,1100019,greedy,0,0,0,0,0.1875
1,constrained_minus_recorded,panel_0,0,1100020,greedy,0,0,1,-6,0.0
1,constrained_minus_recorded,panel_0,0,1100021,greedy,0,1,1,-27,-0.8125
1,constrained_minus_recorded,panel_0,0,1100022,greedy,0,0,0,0,0.5625
1,constrained_minus_recorded,panel_0,0,1100023,greedy,0,0,0,0,-0.0625
1,constrained_minus_recorded,panel_0,0,1100024,greedy,0,0,1,-23,-0.8214285714285714
1,constrained_minus_recorded,panel_0,0,1100025,greedy,0,0,1,-23,-0.76
1,constrained_minus_recorded,panel_0,0,1100026,greedy,0,0,1,-7,-0.7777777777777778
1,constrained_minus_recorded,panel_0,0,1100027,greedy,0,-1,0,13,0.305921052631579
1,constrained_minus_recorded,panel_0,0,1100028,greedy,0,1,1,-29,-0.21875
1,constrained_minus_recorded,panel_0,0,1100029,greedy,0,0,1,-19,-0.45
1,constrained_minus_recorded,panel_0,0,1100030,greedy,0,0,1,-22,-0.9565217391304348
1,constrained_minus_recorded,panel_0,0,1100031,greedy,0,0,1,-17,-0.8333333333333334
1,constrained_minus_recorded,panel_0,0,1100032,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100033,greedy,0,-1,0,17,0.20416666666666672
1,constrained_minus_recorded,panel_0,0,1100034,greedy,0,-1,0,17,0.7375
1,constrained_minus_recorded,panel_0,0,1100035,greedy,0,0,0,0,0.21875
1,constrained_minus_recorded,panel_0,0,1100036,greedy,0,0,1,-2,-0.6666666666666666
1,constrained_minus_recorded,panel_0,0,1100037,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100038,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100039,greedy,0,0,1,-11,-0.7857142857142857
1,constrained_minus_recorded,panel_0,0,1100040,greedy,0,-1,-1,26,0.7083333333333334
1,constrained_minus_recorded,panel_0,0,1100041,greedy,0,0,0,9,0.13909774436090228
1,constrained_minus_recorded,panel_0,0,1100042,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100043,greedy,0,0,0,-3,0.7
1,constrained_minus_recorded,panel_0,0,1100044,greedy,0,1,1,-27,-0.90625
1,constrained_minus_recorded,panel_0,0,1100045,greedy,0,1,1,-30,-0.71875
1,constrained_minus_recorded,panel_0,0,1100046,greedy,0,1,1,-30,-0.96875
1,constrained_minus_recorded,panel_0,0,1100047,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100048,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100049,greedy,0,-1,0,9,0.30434782608695654
1,constrained_minus_recorded,panel_0,0,1100050,greedy,0,0,0,0,0.0
1,constrained_minus_recorded,panel_0,0,1100051,greedy,0,0,1,-9,-0.5
1,constrained_minus_recorded,panel_0,0,1100052,greedy,0,0,0,0,-0.3125
1,constrained_minus_recorded,panel_0,0,1100053,greedy,0,-1,0,14,0.35763888888888884
1,constrained_minus_recorded,panel_0,0,1100054,greedy,0,-1,0,13,0.23190789473684215
1,constrained_minus_recorded,panel_0,0,1100055,greedy,0,0,1,-5,-0.375
1,constrained_minus_recorded,panel_0,0,1100056,greedy,0,0,1,-19,-0.30434782608695654
1,constrained_minus_recorded,panel_0,0,1100057,greedy,0,0,1,-23,-0.8076923076923077
1,constrained_minus_recorded,panel_0,0,1100058,greedy,0,0,0,0,0.09375
1,constrained_minus_recorded,panel_0,0,1100059,greedy,0,1,0,-8,0.23958333333333337
