map_seed,repetition,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps
300000,0,12,1,1,0,1,0.88,0.99,2
300000,1,6,1,1,0,1,0.94,1.0284,0
300000,2,8,1,1,0,1,0.9199999999999999,1.0144,0
300000,3,9,1,1,0,1,0.91,1.0188000000000001,1
300000,4,6,1,1,0,1,0.94,1.0308,0
300000,5,32,0,0,1,1,-0.3200000000000001,-0.14519999999999988,8
300000,6,27,1,1,0,1,0.73,0.9024000000000001,9
300000,7,3,1,1,0,1,0.97,1.0524,1
300000,8,2,1,1,0,1,0.98,1.0612,0
300000,9,8,1,1,0,1,0.9199999999999999,1.012,2
300000,10,2,1,1,0,1,0.98,1.0612,0
300000,11,6,1,1,0,1,0.94,1.0284,0
300000,12,32,0,0,1,1,-0.3200000000000001,-0.1187999999999999,12
300000,13,12,1,1,0,1,0.88,0.9972000000000001,6
300000,14,27,1,1,0,1,0.73,0.888,5
300000,15,3,1,1,0,1,0.97,1.0524,1
300001,0,32,0,0,1,1,-0.3200000000000001,-0.04959999999999992,16
300001,1,8,1,1,0,1,0.9199999999999999,1.098,2
300001,2,32,0,0,1,1,-0.3200000000000001,0.0020000000000001683,17
300001,3,32,0,0,1,1,-0.3200000000000001,-0.015999999999999848,12
300001,4,6,1,1,0,1,0.94,1.1108,0
300001,5,32,0,0,1,1,-0.3200000000000001,-0.02199999999999991,12
300001,6,32,0,0,1,1,-0.3200000000000001,-0.04839999999999989,12
300001,7,27,1,1,0,1,0.73,1.0040000000000002,7
300001,8,32,0,0,1,1,-0.3200000000000001,-0.00039999999999988656,10
300001,9,32,0,0,1,1,-0.3200000000000001,-0.061599999999999946,6
300001,10,11,1,1,0,1,0.89,1.0908,7
300001,11,7,1,1,0,1,0.9299999999999999,1.1056000000000001,1
300001,12,21,1,1,0,1,0.7899999999999999,1.0328000000000002,9
300001,13,32,1,1,0,1,0.6799999999999999,0.9672000000000002,10
300001,14,7,1,1,0,1,0.9299999999999999,1.108,1
300001,15,32,0,0,1,1,-0.3200000000000001,0.017600000000000116,22
300002,0,3,1,1,0,1,0.97,1.0936,0
300002,1,32,0,0,1,1,-0.3200000000000001,-0.08839999999999995,13
300002,2,11,1,1,0,1,0.89,1.0436,2
300002,3,32,1,1,0,1,0.6799999999999999,0.8792000000000001,3
300002,4,3,1,1,0,1,0.97,1.0936,0
300002,5,17,1,1,0,1,0.83,0.9884000000000001,6
300002,6,32,0,0,1,1,-0.3200000000000001,-0.08959999999999987,13
300002,7,8,1,1,0,1,0.9199999999999999,1.0652000000000001,3
300002,8,14,1,1,0,1,0.86,1.0088000000000001,1
300002,9,6,1,1,0,1,0.94,1.0768,1
300002,10,32,0,0,1,1,-0.3200000000000001,-0.1052,7
300002,11,28,1,1,0,1,0.72,0.9252,5
300002,12,32,0,0,1,1,-0.3200000000000001,-0.08839999999999992,13
300002,13,32,0,0,1,1,-0.3200000000000001,-0.10279999999999995,9
300002,14,6,1,1,0,1,0.94,1.0744,3
300002,15,16,1,1,0,1,0.84,1.0104,5
300003,0,32,0,0,1,1,-0.3200000000000001,0.1196000000000001,8
300003,1,32,0,0,1,1,-0.3200000000000001,0.12440000000000011,8
300003,2,32,0,0,1,1,-0.3200000000000001,0.19160000000000016,13
300003,3,32,0,0,1,1,-0.3200000000000001,0.20720000000000022,22
300003,4,32,0,0,1,1,-0.3200000000000001,0.17360000000000014,13
