map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining
300000,0,1,447,1,-0.04639999999999999,606,0,0,32
300000,0,2,606,3,-0.04520000000000001,637,0,0,31
300000,0,3,637,2,0.03360000000000002,604,0,0,30
300000,0,4,604,0,0.03239999999999999,443,0,0,29
300000,0,5,443,0,0.031200000000000006,346,0,0,28
300000,0,6,346,3,-0.008799999999999999,345,0,0,27
300000,0,7,345,1,-0.0476,440,0,0,26
300000,0,8,440,3,-0.04639999999999999,471,0,0,25
300000,0,9,471,0,-0.006399999999999997,470,0,0,24
300000,0,10,470,2,0.03239999999999999,437,0,0,23
300000,0,11,437,0,0.031200000000000006,340,0,0,22
300000,0,12,340,2,1.03,-1,1,0,21
300000,1,1,447,0,0.031200000000000006,350,0,0,32
300000,1,2,350,1,-0.0476,445,0,0,31
300000,1,3,445,2,0.031200000000000006,412,0,0,30
300000,1,4,412,1,-0.0476,571,0,0,29
300000,1,5,571,0,0.031200000000000006,410,0,0,28
300000,1,6,410,0,1.03,-1,1,0,27
300000,2,1,447,2,0.031200000000000006,414,0,0,32
300000,2,2,414,1,-0.0476,573,0,0,31
300000,2,3,573,2,-0.04639999999999999,540,0,0,30
300000,2,4,540,0,0.03239999999999999,379,0,0,29
300000,2,5,379,3,0.031200000000000006,410,0,0,28
300000,2,6,410,3,-0.0476,441,0,0,27
300000,2,7,441,2,0.031200000000000006,408,0,0,26
300000,2,8,408,0,1.03,-1,1,0,25
300000,3,1,447,3,-0.04639999999999999,478,0,0,32
300000,3,2,478,1,-0.04520000000000001,637,0,0,31
300000,3,3,637,1,-0.005199999999999995,636,0,0,30
300000,3,4,636,2,0.03360000000000002,603,0,0,29
300000,3,5,603,3,-0.04520000000000001,634,0,0,28
300000,3,6,634,0,0.03360000000000002,473,0,0,27
300000,3,7,473,2,0.03239999999999999,440,0,0,26
300000,3,8,440,0,0.031200000000000006,343,0,0,25
300000,3,9,343,2,1.03,-1,1,0,24
300000,4,1,447,2,0.031200000000000006,414,0,0,32
300000,4,2,414,2,-0.0476,381,0,0,31
300000,4,3,381,1,-0.04639999999999999,540,0,0,30
300000,4,4,540,0,0.03239999999999999,379,0,0,29
300000,4,5,379,3,0.031200000000000006,410,0,0,28
300000,4,6,410,0,1.03,-1,1,0,27
300000,5,1,447,0,0.031200000000000006,350,0,0,32
300000,5,2,350,0,-0.0476,221,0,0,31
300000,5,3,221,1,0.031200000000000006,348,0,0,30
300000,5,4,348,3,-0.008799999999999999,347,0,0,29
300000,5,5,347,1,-0.0476,442,0,0,28
300000,5,6,442,2,0.031200000000000006,409,0,0,27
300000,5,7,409,2,-0.0476,376,0,0,26
300000,5,8,376,1,-0.04639999999999999,535,0,0,25
300000,5,9,535,1,-0.006399999999999997,534,0,0,24
300000,5,10,534,2,-0.04520000000000001,501,0,0,23
300000,5,11,501,3,0.03360000000000002,532,0,0,22
300000,5,12,532,2,-0.04520000000000001,499,0,0,21
300000,5,13,499,1,-0.005199999999999995,498,0,0,20
300000,5,14,498,0,-0.005199999999999995,497,0,0,19
300000,5,15,497,1,-0.005199999999999995,496,0,0,18
300000,5,16,496,3,0.03360000000000002,527,0,0,17
300000,5,17,527,3,0.03239999999999999,558,0,0,16
300000,5,18,558,1,-0.007599999999999997,557,0,0,15
300000,5,19,557,3,-0.04639999999999999,588,0,0,14
300000,5,20,588,0,0.03239999999999999,427,0,0,13
300000,5,21,427,2,0.031200000000000006,394,0,0,12
300000,5,22,394,3,-0.0476,425,0,0,11
300000,5,23,425,2,0.031200000000000006,392,0,0,10
300000,5,24,392,3,-0.0476,423,0,0,9
300000,5,25,423,3,-0.04639999999999999,454,0,0,8
300000,5,26,454,1,-0.04520000000000001,613,0,0,7
300000,5,27,613,1,-0.005199999999999995,612,0,0,6
300000,5,28,612,0,0.03360000000000002,451,0,0,5
300000,5,29,451,0,-0.006399999999999997,450,0,0,4
300000,5,30,450,2,0.03239999999999999,417,0,0,3
300000,5,31,417,3,-0.04639999999999999,448,0,0,2
300000,5,32,448,1,0.11,-1,0,1,1
300000,6,1,447,3,-0.04639999999999999,478,0,0,32
300000,6,2,478,1,-0.04520000000000001,637,0,0,31
300000,6,3,637,3,-0.005199999999999995,636,0,0,30
300000,6,4,636,1,-0.005199999999999995,635,0,0,29
300000,6,5,635,0,0.03360000000000002,474,0,0,28
300000,6,6,474,3,-0.006399999999999997,473,0,0,27
300000,6,7,473,2,0.03239999999999999,440,0,0,26
300000,6,8,440,3,-0.04639999999999999,471,0,0,25
300000,6,9,471,0,-0.006399999999999997,470,0,0,24
300000,6,10,470,1,-0.04520000000000001,629,0,0,23
300000,6,11,629,2,0.03360000000000002,596,0,0,22
300000,6,12,596,3,-0.04520000000000001,627,0,0,21
300000,6,13,627,1,-0.005199999999999995,626,0,0,20
300000,6,14,626,3,-0.005199999999999995,625,0,0,19
300000,6,15,625,1,-0.005199999999999995,624,0,0,18
300000,6,16,624,1,-0.005199999999999995,623,0,0,17
300000,6,17,623,2,0.03360000000000002,590,0,0,16
300000,6,18,590,0,0.03239999999999999,429,0,0,15
300000,6,19,429,1,-0.04639999999999999,588,0,0,14
300000,6,20,588,2,0.03239999999999999,555,0,0,13
300000,6,21,555,3,-0.04639999999999999,586,0,0,12
300000,6,22,586,2,0.03239999999999999,553,0,0,11
300000,6,23,553,1,-0.007599999999999997,552,0,0,10
300000,6,24,552,0,0.031200000000000006,391,0,0,9
300000,6,25,391,3,-0.0476,422,0,0,8
300000,6,26,422,0,0.031200000000000006,325,0,0,7
300000,6,27,325,2,1.03,-1,1,0,6
300000,7,1,447,0,0.031200000000000006,350,0,0,32
300000,7,2,350,3,-0.008799999999999999,349,0,0,31
300000,7,3,349,2,1.03,-1,1,0,30
300000,8,1,447,0,0.031200000000000006,350,0,0,32
300000,8,2,350,2,1.03,-1,1,0,31
300000,9,1,447,2,0.031200000000000006,414,0,0,32
300000,9,2,414,2,-0.0476,381,0,0,31
300000,9,3,381,2,-0.007599999999999997,380,0,0,30
300000,9,4,380,0,0.031200000000000006,315,0,0,29
300000,9,5,315,2,-0.0476,282,0,0,28
300000,9,6,282,3,0.031200000000000006,313,0,0,27
300000,9,7,313,0,-0.008799999999999999,312,0,0,26
300000,9,8,312,3,1.03,-1,1,0,25
300000,10,1,447,2,0.031200000000000006,414,0,0,32
300000,10,2,414,0,1.03,-1,1,0,31
300000,11,1,447,0,0.031200000000000006,350,0,0,32
300000,11,2,350,1,-0.0476,445,0,0,31
300000,11,3,445,2,0.031200000000000006,412,0,0,30
300000,11,4,412,3,-0.0476,443,0,0,29
300000,11,5,443,0,0.031200000000000006,346,0,0,28
300000,11,6,346,2,1.03,-1,1,0,27
300000,12,1,447,3,-0.04639999999999999,478,0,0,32
300000,12,2,478,3,-0.006399999999999997,477,0,0,31
300000,12,3,477,1,-0.04520000000000001,636,0,0,30
300000,12,4,636,1,-0.005199999999999995,635,0,0,29
300000,12,5,635,1,-0.005199999999999995,634,0,0,28
300000,12,6,634,0,0.03360000000000002,473,0,0,27
300000,12,7,473,3,-0.006399999999999997,472,0,0,26
300000,12,8,472,2,0.03239999999999999,439,0,0,25
300000,12,9,439,3,-0.04639999999999999,470,0,0,24
300000,12,10,470,2,0.03239999999999999,437,0,0,23
300000,12,11,437,3,-0.04639999999999999,468,0,0,22
300000,12,12,468,3,-0.006399999999999997,467,0,0,21
300000,12,13,467,0,-0.006399999999999997,466,0,0,20
300000,12,14,466,0,-0.006399999999999997,465,0,0,19
300000,12,15,465,1,-0.04520000000000001,624,0,0,18
300000,12,16,624,2,0.03360000000000002,591,0,0,17
300000,12,17,591,2,0.03239999999999999,558,0,0,16
300000,12,18,558,3,-0.04639999999999999,589,0,0,15
300000,12,19,589,3,-0.04520000000000001,620,0,0,14
300000,12,20,620,0,0.03360000000000002,459,0,0,13
300000,12,21,459,0,-0.006399999999999997,458,0,0,12
300000,12,22,458,1,-0.04520000000000001,617,0,0,11
300000,12,23,617,1,-0.005199999999999995,616,0,0,10
300000,12,24,616,0,0.03360000000000002,455,0,0,9
300000,12,25,455,1,-0.04520000000000001,614,0,0,8
300000,12,26,614,0,0.03360000000000002,453,0,0,7
300000,12,27,453,3,-0.006399999999999997,452,0,0,6
300000,12,28,452,1,-0.04520000000000001,611,0,0,5
300000,12,29,611,3,-0.005199999999999995,610,0,0,4
300000,12,30,610,0,0.03360000000000002,449,0,0,3
300000,12,31,449,1,-0.04520000000000001,608,0,0,2
300000,12,32,608,3,0.15000000000000002,-1,0,1,1
300000,13,1,447,3,-0.04639999999999999,478,0,0,32
300000,13,2,478,3,-0.006399999999999997,477,0,0,31
300000,13,3,477,0,-0.006399999999999997,476,0,0,30
300000,13,4,476,3,-0.006399999999999997,475,0,0,29
300000,13,5,475,3,-0.006399999999999997,474,0,0,28
300000,13,6,474,1,-0.04520000000000001,633,0,0,27
300000,13,7,633,0,0.03360000000000002,472,0,0,26
300000,13,8,472,3,-0.006399999999999997,471,0,0,25
300000,13,9,471,3,-0.006399999999999997,470,0,0,24
300000,13,10,470,2,0.03239999999999999,437,0,0,23
300000,13,11,437,2,0.031200000000000006,404,0,0,22
300000,13,12,404,0,1.03,-1,1,0,21
300000,14,1,447,2,0.031200000000000006,414,0,0,32
300000,14,2,414,3,-0.0476,445,0,0,31
300000,14,3,445,3,-0.04639999999999999,476,0,0,30
300000,14,4,476,0,-0.006399999999999997,475,0,0,29
300000,14,5,475,3,-0.006399999999999997,474,0,0,28
300000,14,6,474,1,-0.04520000000000001,633,0,0,27
300000,14,7,633,0,0.03360000000000002,472,0,0,26
300000,14,8,472,0,-0.006399999999999997,471,0,0,25
300000,14,9,471,1,-0.04520000000000001,630,0,0,24
300000,14,10,630,2,0.03360000000000002,597,0,0,23
