condition,seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
exhaustive,0,100,100,0.02030711472965777,0.012582276947796345,6400
exhaustive,0,200,100,0.015619084774516522,0.015994945541024208,12800
exhaustive,0,300,100,0.01363598195835948,0.00921005941927433,19200
exhaustive,0,400,100,0.01157255089841783,0.014680653810501099,25600
exhaustive,0,500,100,0.009139745491556822,0.007768685929477215,32000
exhaustive,0,600,100,0.006733289211988449,0.005709456279873848,38400
exhaustive,0,700,100,0.005346073673572391,0.0055443299934268,44800
exhaustive,0,800,100,0.005385099169798195,0.005712755024433136,51200
exhaustive,0,900,100,0.005894081376027316,0.003914842382073402,57600
exhaustive,0,1000,100,0.0063705969811417166,0.006977918557822704,64000
exhaustive,0,1100,100,0.007099299405235797,0.00375461857765913,70400
exhaustive,0,1200,100,0.006687188823707402,0.0028831870295107365,76800
exhaustive,0,1300,100,0.006810059365816415,0.006226193159818649,83200
exhaustive,0,1400,100,0.00640459647634998,0.005048288032412529,89600
exhaustive,0,1500,100,0.006121529138181358,0.0019407818326726556,96000
exhaustive,0,1600,100,0.006151666275691241,0.009796751663088799,102400
exhaustive,0,1700,100,0.005312012177892029,0.0029975303914397955,108800
exhaustive,0,1800,100,0.005309983831830322,0.00288888206705451,115200
exhaustive,0,1900,100,0.0048890653951093556,0.009757362306118011,121600
exhaustive,0,2000,100,0.003961638753535226,0.00261292583309114,128000
exhaustive,0,2100,100,0.0036608503048773857,0.005490418523550034,134400
exhaustive,0,2200,100,0.0033186449960339814,0.002065566135570407,140800
exhaustive,0,2300,100,0.002853715546661988,0.0010181294055655599,147200
exhaustive,0,2400,100,0.002352684928337112,0.0015211438294500113,153600
exhaustive,0,2500,100,0.0022421714838128538,0.0010189518798142672,160000
exhaustive,0,2600,100,0.0019612007663818076,0.0012878943234682083,166400
exhaustive,0,2700,100,0.0018834726052591576,0.0010289079509675503,172800
exhaustive,0,2800,100,0.0016266318707494065,0.0014076356310397387,179200
exhaustive,0,2900,100,0.0017737215536180885,0.002461326541379094,185600
exhaustive,0,3000,100,0.0016879089805297554,0.0020834750030189753,192000
exhaustive,0,3100,100,0.00159424694837071,0.0015440968563780189,198400
exhaustive,0,3200,100,0.0017069290665676817,0.0012043190654367208,204800
exhaustive,0,3300,100,0.0018283800937933846,0.0010607592994347215,211200
exhaustive,0,3400,100,0.0018268415064085276,0.003364202566444874,217600
exhaustive,0,3500,100,0.0018667527928482742,0.0011986307799816132,224000
exhaustive,0,3600,100,0.0018853567063342779,0.0012085026828572154,230400
exhaustive,0,3700,100,0.0018712819332722575,0.002462920267134905,236800
exhaustive,0,3800,100,0.0017134109645849094,0.0016551594017073512,243200
exhaustive,0,3900,100,0.0019226608029566704,0.0018440887797623873,249600
exhaustive,0,4000,100,0.0017307125549996271,0.0016568460268899798,256000
exhaustive,0,4100,100,0.0017760294728213922,0.003222803119570017,262400
exhaustive,0,4200,100,0.00174356747942511,0.0028866291977465153,268800
exhaustive,0,4300,100,0.0017452074674656614,0.0013895800802856684,275200
exhaustive,0,4400,100,0.0017880210711155088,0.0023047460708767176,281600
exhaustive,0,4500,100,0.0018542427907232194,0.0014091954799368978,288000
exhaustive,0,4600,100,0.0018241292610764502,0.002304428955540061,294400
exhaustive,0,4700,100,0.0017427111632423475,0.001984735717996955,300800
exhaustive,0,4800,100,0.0019561075273668393,0.0016110386932268739,307200
exhaustive,0,4900,100,0.0018125814199447632,0.0014271605759859085,313600
exhaustive,0,5000,100,0.0018094017170369626,0.0013079907512292266,320000
exhaustive,0,5100,100,0.0016977105231489986,0.001039634458720684,326400
exhaustive,0,5200,100,0.0018482087348820641,0.0012577632442116737,332800
exhaustive,0,5300,100,0.0018601104704430327,0.0016720632556825876,339200
exhaustive,0,5400,100,0.0017800869746133685,0.0013637864030897617,345600
exhaustive,0,5500,100,0.0018793245672713964,0.0018722391687333584,352000
exhaustive,0,5600,100,0.001847130538080819,0.001828459557145834,358400
exhaustive,0,5700,100,0.0018095406971406192,0.0013916161842644215,364800
exhaustive,0,5800,100,0.0018218523962423205,0.0012649472337216139,371200
exhaustive,0,5900,100,0.0017657846014481038,0.0019941909704357386,377600
exhaustive,0,6000,100,0.0018613762466702611,0.0022935664746910334,384000
exhaustive,0,6100,100,0.0017642334359697998,0.0011261488543823361,390400
exhaustive,0,6200,100,0.0017425694945268333,0.001624183263629675,396800
exhaustive,0,6300,100,0.0017215090326499194,0.001999936066567898,403200
exhaustive,0,6400,100,0.001774844884639606,0.001753831165842712,409600
exhaustive,0,6500,100,0.0018474165018415077,0.0017283433116972446,416000
exhaustive,0,6600,100,0.001773365568369627,0.0031369412317872047,422400
exhaustive,0,6700,100,0.0018910124886315316,0.0021788321901112795,428800
exhaustive,0,6800,100,0.001716937551391311,0.002148710424080491,435200
exhaustive,0,6900,100,0.0018084621656453237,0.0016308296471834183,441600
exhaustive,0,7000,100,0.0017789951182203367,0.002044441644102335,448000
exhaustive,0,7100,100,0.0016138159926049412,0.0012794326758012176,454400
exhaustive,0,7200,100,0.0017200199066428467,0.0014170357026159763,460800
exhaustive,0,7300,100,0.0017359184339875355,0.0011667218059301376,467200
exhaustive,0,7400,100,0.0017192891088780016,0.0011465901043266058,473600
exhaustive,0,7500,100,0.0017683463561115787,0.00169553910382092,480000
exhaustive,0,7600,100,0.0017120893637184054,0.0028469273820519447,486400
exhaustive,0,7700,100,0.0018252674234099685,0.0024378295056521893,492800
exhaustive,0,7800,100,0.0017608319455757737,0.0019011758267879486,499200
exhaustive,0,7900,100,0.001737812309875153,0.001704215770587325,505600
exhaustive,0,8000,100,0.001771825299365446,0.0016643388662487268,512000
exhaustive,0,8100,100,0.0016232087137177586,0.0023397875484079123,518400
exhaustive,0,8200,100,0.0016841133759589865,0.0015148269012570381,524800
exhaustive,0,8300,100,0.001778255454264581,0.0016125913243740797,531200
exhaustive,0,8400,100,0.0016926630126545205,0.0015386900631710887,537600
exhaustive,0,8500,100,0.001663107985514216,0.0017590970965102315,544000
exhaustive,0,8600,100,0.001654583858908154,0.0013620960526168346,550400
