map_seed,repetition,policy,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps,trajectory_sha256
300000,0,random,18,1,1,0,1,0.82,0.9420000000000001,4,819dc7071db610a4184a3c88adca01ea199f84eaf1e9ab11d8207d950ad2ad5c
300000,1,random,17,1,1,0,1,0.83,0.9496,3,478ad4d45ac6df23a8db8208de4feed1bbd97d936a65bfb460ba50caf381a82e
300000,2,random,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,3,random,27,1,1,0,1,0.73,0.8868,9,c62847d688db79e9e6c5e37a66fcc426d60554f0c4d049f612f209481c34b09d
300000,4,random,32,0,0,1,1,-0.3200000000000001,-0.14999999999999997,9,362c83dbdd07d64617c51de0d854d6d5558de31f6c0dc4ea66d4f7c186cd3ef7
300000,5,random,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,6,random,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,7,random,32,0,0,1,1,-0.3200000000000001,-0.1439999999999999,7,39a02f2858f76515c1d02d16e4d9774d8ff8c3a537914bc1d5620d771ae381f3
300000,8,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,9,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,10,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,11,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,12,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,13,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,14,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,15,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
