map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300000,0,1,447,2,0.031200000000000006,414,0,0,32,random,,,,
300000,0,2,414,1,-0.0476,573,0,0,31,random,,,,
300000,0,3,573,1,-0.007599999999999997,572,0,0,30,random,,,,
300000,0,4,572,3,-0.04639999999999999,603,0,0,29,random,,,,
300000,0,5,603,1,-0.006399999999999997,602,0,0,28,random,,,,
300000,0,6,602,0,0.03239999999999999,441,0,0,27,random,,,,
300000,0,7,441,1,-0.04639999999999999,600,0,0,26,random,,,,
300000,0,8,600,2,0.03239999999999999,567,0,0,25,random,,,,
300000,0,9,567,2,-0.04639999999999999,534,0,0,24,random,,,,
300000,0,10,534,0,0.03239999999999999,373,0,0,23,random,,,,
300000,0,11,373,1,-0.04639999999999999,532,0,0,22,random,,,,
300000,0,12,532,0,0.03239999999999999,371,0,0,21,random,,,,
300000,0,13,371,1,-0.04639999999999999,530,0,0,20,random,,,,
300000,0,14,530,2,-0.04520000000000001,497,0,0,19,random,,,,
300000,0,15,497,3,0.03360000000000002,528,0,0,18,random,,,,
300000,0,16,528,0,0.03239999999999999,367,0,0,17,random,,,,
300000,0,17,367,3,0.031200000000000006,398,0,0,16,random,,,,
300000,0,18,398,3,-0.0476,429,0,0,15,random,,,,
300000,0,19,429,2,0.031200000000000006,396,0,0,14,random,,,,
300000,0,20,396,1,-0.0476,555,0,0,13,random,,,,
300000,0,21,555,3,-0.04639999999999999,586,0,0,12,random,,,,
300000,0,22,586,1,-0.006399999999999997,585,0,0,11,random,,,,
300000,0,23,585,0,0.03239999999999999,424,0,0,10,random,,,,
300000,0,24,424,0,0.031200000000000006,327,0,0,9,random,,,,
300000,0,25,327,0,-0.0476,198,0,0,8,random,,,,
300000,0,26,198,1,0.031200000000000006,325,0,0,7,random,,,,
300000,0,27,325,1,-0.0476,420,0,0,6,random,,,,
300000,0,28,420,2,0.031200000000000006,387,0,0,5,random,,,,
300000,0,29,387,1,-0.0476,546,0,0,4,random,,,,
300000,0,30,546,0,0.031200000000000006,385,0,0,3,random,,,,
300000,0,31,385,1,-0.0476,544,0,0,2,random,,,,
300000,0,32,544,0,0.07000000000000002,-1,0,1,1,random,,,,
300000,1,1,447,0,0.031200000000000006,350,0,0,32,random,,,,
300000,1,2,350,1,-0.0476,445,0,0,31,random,,,,
300000,1,3,445,3,-0.04639999999999999,476,0,0,30,random,,,,
300000,1,4,476,0,-0.006399999999999997,475,0,0,29,random,,,,
300000,1,5,475,0,-0.006399999999999997,474,0,0,28,random,,,,
300000,1,6,474,3,-0.006399999999999997,473,0,0,27,random,,,,
300000,1,7,473,0,-0.006399999999999997,472,0,0,26,random,,,,
300000,1,8,472,3,-0.006399999999999997,471,0,0,25,random,,,,
300000,1,9,471,1,-0.04520000000000001,630,0,0,24,random,,,,
300000,1,10,630,3,-0.005199999999999995,629,0,0,23,random,,,,
300000,1,11,629,0,0.03360000000000002,468,0,0,22,random,,,,
300000,1,12,468,1,-0.04520000000000001,627,0,0,21,random,,,,
300000,1,13,627,2,0.03360000000000002,594,0,0,20,random,,,,
300000,1,14,594,2,0.03239999999999999,561,0,0,19,random,,,,
300000,1,15,561,3,-0.04639999999999999,592,0,0,18,random,,,,
300000,1,16,592,1,-0.006399999999999997,591,0,0,17,random,,,,
300000,1,17,591,2,0.03239999999999999,558,0,0,16,random,,,,
300000,1,18,558,1,-0.007599999999999997,557,0,0,15,random,,,,
300000,1,19,557,2,-0.04639999999999999,524,0,0,14,random,,,,
