bank_id,comparison,panel,seed,map_seed,mode,repetition,success_delta,efficient_success_delta,steps_delta,noop_rate_delta
1,guided_minus_random,panel_0,0,1140000,greedy,0,1,0,-9,-0.11141304347826086
1,guided_minus_random,panel_0,0,1140001,greedy,0,0,0,0,0.0625
1,guided_minus_random,panel_0,0,1140002,greedy,0,-1,0,11,0.19047619047619047
1,guided_minus_random,panel_0,0,1140003,greedy,0,-1,-1,26,0.96875
1,guided_minus_random,panel_0,0,1140004,greedy,0,0,0,0,-0.125
1,guided_minus_random,panel_0,0,1140005,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140006,greedy,0,1,0,-11,-0.96875
1,guided_minus_random,panel_0,0,1140007,greedy,0,1,1,-29,-1.0
1,guided_minus_random,panel_0,0,1140008,greedy,0,0,-1,4,0.0
1,guided_minus_random,panel_0,0,1140009,greedy,0,0,-1,15,0.8333333333333334
1,guided_minus_random,panel_0,0,1140010,greedy,0,0,0,9,0.2571428571428571
1,guided_minus_random,panel_0,0,1140011,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140012,greedy,0,-1,-1,27,0.7375
1,guided_minus_random,panel_0,0,1140013,greedy,0,-1,0,15,0.5294117647058824
1,guided_minus_random,panel_0,0,1140014,greedy,0,1,1,-28,-0.9375
1,guided_minus_random,panel_0,0,1140015,greedy,0,0,0,2,0.0
1,guided_minus_random,panel_0,0,1140016,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140017,greedy,0,-1,-1,22,-0.175
1,guided_minus_random,panel_0,0,1140018,greedy,0,1,1,-26,-0.8125
1,guided_minus_random,panel_0,0,1140019,greedy,0,0,-1,20,0.9090909090909091
1,guided_minus_random,panel_0,0,1140020,greedy,0,0,0,5,0.45454545454545453
1,guided_minus_random,panel_0,0,1140021,greedy,0,0,1,-14,-0.7368421052631579
1,guided_minus_random,panel_0,0,1140022,greedy,0,0,0,-2,-0.033333333333333326
1,guided_minus_random,panel_0,0,1140023,greedy,0,0,0,0,-0.90625
1,guided_minus_random,panel_0,0,1140024,greedy,0,0,0,0,-0.21875
1,guided_minus_random,panel_0,0,1140025,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140026,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140027,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140028,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140029,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140030,greedy,0,0,-1,17,0.8947368421052632
1,guided_minus_random,panel_0,0,1140031,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140032,greedy,0,0,-1,8,0.6666666666666666
1,guided_minus_random,panel_0,0,1140033,greedy,0,0,0,-2,-0.5
1,guided_minus_random,panel_0,0,1140034,greedy,0,-1,-1,31,0.9375
1,guided_minus_random,panel_0,0,1140035,greedy,0,-1,-1,31,0.96875
1,guided_minus_random,panel_0,0,1140036,greedy,0,0,0,20,0.31746031746031744
1,guided_minus_random,panel_0,0,1140037,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140038,greedy,0,0,0,0,-0.78125
1,guided_minus_random,panel_0,0,1140039,greedy,0,0,0,-2,-0.2857142857142857
1,guided_minus_random,panel_0,0,1140040,greedy,0,-1,-1,27,0.4375
1,guided_minus_random,panel_0,0,1140041,greedy,0,0,-1,14,0.0
1,guided_minus_random,panel_0,0,1140042,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140043,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140044,greedy,0,-1,0,0,0.96875
1,guided_minus_random,panel_0,0,1140045,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140046,greedy,0,0,0,0,-0.03125
1,guided_minus_random,panel_0,0,1140047,greedy,0,0,-1,21,0.8076923076923077
1,guided_minus_random,panel_0,0,1140048,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140049,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140050,greedy,0,0,0,7,0.04117647058823526
1,guided_minus_random,panel_0,0,1140051,greedy,0,1,0,-3,-0.5549568965517242
1,guided_minus_random,panel_0,0,1140052,greedy,0,-1,0,20,-0.5833333333333334
1,guided_minus_random,panel_0,0,1140053,greedy,0,1,1,-24,0.46875
1,guided_minus_random,panel_0,0,1140054,greedy,0,0,0,0,0.03125
1,guided_minus_random,panel_0,0,1140055,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140056,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140057,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140058,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140059,greedy,0,0,0,16,0.06881720430107519
1,guided_minus_random,panel_0,0,1140060,greedy,0,0,-1,13,0.5777777777777777
1,guided_minus_random,panel_0,0,1140061,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,0,1140062,greedy,0,0,-1,22,0.0
1,guided_minus_random,panel_0,0,1140063,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140000,greedy,0,-1,0,8,0.10416666666666663
1,guided_minus_random,panel_0,1,1140001,greedy,0,1,1,-27,-0.5
1,guided_minus_random,panel_0,1,1140002,greedy,0,0,0,0,0.09375
1,guided_minus_random,panel_0,1,1140003,greedy,0,0,0,0,-0.59375
1,guided_minus_random,panel_0,1,1140004,greedy,0,0,0,0,0.3125
1,guided_minus_random,panel_0,1,1140005,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140006,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140007,greedy,0,1,1,-27,-1.0
1,guided_minus_random,panel_0,1,1140008,greedy,0,1,1,-29,0.0
1,guided_minus_random,panel_0,1,1140009,greedy,0,0,1,-7,-0.7
1,guided_minus_random,panel_0,1,1140010,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140011,greedy,0,0,1,-12,0.0
1,guided_minus_random,panel_0,1,1140012,greedy,0,-1,-1,28,0.84375
1,guided_minus_random,panel_0,1,1140013,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140014,greedy,0,0,0,0,-0.96875
1,guided_minus_random,panel_0,1,1140015,greedy,0,-1,-1,29,0.875
1,guided_minus_random,panel_0,1,1140016,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140017,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140018,greedy,0,0,0,0,0.375
1,guided_minus_random,panel_0,1,1140019,greedy,0,-1,-1,30,1.0
1,guided_minus_random,panel_0,1,1140020,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140021,greedy,0,0,0,0,0.0625
1,guided_minus_random,panel_0,1,1140022,greedy,0,1,0,-27,-0.4
1,guided_minus_random,panel_0,1,1140023,greedy,0,0,0,0,-0.03125
1,guided_minus_random,panel_0,1,1140024,greedy,0,0,1,-6,0.0
1,guided_minus_random,panel_0,1,1140025,greedy,0,-1,-1,29,1.0
1,guided_minus_random,panel_0,1,1140026,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140027,greedy,0,0,0,0,-0.96875
1,guided_minus_random,panel_0,1,1140028,greedy,0,0,0,0,0.0
1,guided_minus_random,panel_0,1,1140029,greedy,0,0,1,-13,-0.29411764705882354
