bank_id,comparison,panel,seed,map_seed,mode,repetition,success_delta,efficient_success_delta,steps_delta,noop_rate_delta
1,logged_graph_minus_constrained,panel_0,0,1120000,greedy,0,-1,0,20,-0.375
1,logged_graph_minus_constrained,panel_0,0,1120001,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120002,greedy,0,0,0,0,-0.0625
1,logged_graph_minus_constrained,panel_0,0,1120003,greedy,0,-1,-1,27,0.875
1,logged_graph_minus_constrained,panel_0,0,1120004,greedy,0,-1,-1,30,0.875
1,logged_graph_minus_constrained,panel_0,0,1120005,greedy,0,0,0,18,0.22608695652173916
1,logged_graph_minus_constrained,panel_0,0,1120006,greedy,0,-1,-1,30,0.9375
1,logged_graph_minus_constrained,panel_0,0,1120007,greedy,0,-1,-1,30,0.3125
1,logged_graph_minus_constrained,panel_0,0,1120008,greedy,0,0,-1,19,0.5652173913043478
1,logged_graph_minus_constrained,panel_0,0,1120009,greedy,0,0,-1,11,0.4375
1,logged_graph_minus_constrained,panel_0,0,1120010,greedy,0,1,0,-10,-0.2414772727272727
1,logged_graph_minus_constrained,panel_0,0,1120011,greedy,0,-1,-1,27,0.90625
1,logged_graph_minus_constrained,panel_0,0,1120012,greedy,0,0,-1,17,0.6181818181818182
1,logged_graph_minus_constrained,panel_0,0,1120013,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120014,greedy,0,-1,-1,29,0.625
1,logged_graph_minus_constrained,panel_0,0,1120015,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120016,greedy,0,1,0,-19,-0.23076923076923073
1,logged_graph_minus_constrained,panel_0,0,1120017,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120018,greedy,0,0,1,-15,-0.42
1,logged_graph_minus_constrained,panel_0,0,1120019,greedy,0,0,-1,23,0.6538461538461539
1,logged_graph_minus_constrained,panel_0,0,1120020,greedy,0,0,-1,24,0.96
1,logged_graph_minus_constrained,panel_0,0,1120021,greedy,0,0,-1,23,0.8846153846153846
1,logged_graph_minus_constrained,panel_0,0,1120022,greedy,0,1,0,-2,-0.11458333333333337
1,logged_graph_minus_constrained,panel_0,0,1120023,greedy,0,0,-1,10,0.0
1,logged_graph_minus_constrained,panel_0,0,1120024,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120025,greedy,0,0,0,0,-0.03125
1,logged_graph_minus_constrained,panel_0,0,1120026,greedy,0,0,0,0,-0.09375
1,logged_graph_minus_constrained,panel_0,0,1120027,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120028,greedy,0,1,0,-13,-0.337171052631579
1,logged_graph_minus_constrained,panel_0,0,1120029,greedy,0,-1,0,26,0.5
1,logged_graph_minus_constrained,panel_0,0,1120030,greedy,0,-1,0,7,-0.92
1,logged_graph_minus_constrained,panel_0,0,1120031,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120032,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120033,greedy,0,-1,0,15,0.45955882352941174
1,logged_graph_minus_constrained,panel_0,0,1120034,greedy,0,0,-1,17,0.6190476190476191
1,logged_graph_minus_constrained,panel_0,0,1120035,greedy,0,0,0,0,-0.25
1,logged_graph_minus_constrained,panel_0,0,1120037,greedy,0,0,0,0,0.09375
1,logged_graph_minus_constrained,panel_0,0,1120038,greedy,0,0,0,0,0.0625
1,logged_graph_minus_constrained,panel_0,0,1120039,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120040,greedy,0,0,-1,17,0.7083333333333334
1,logged_graph_minus_constrained,panel_0,0,1120041,greedy,0,0,0,6,-0.5454545454545454
1,logged_graph_minus_constrained,panel_0,0,1120042,greedy,0,1,0,-13,-0.26315789473684215
1,logged_graph_minus_constrained,panel_0,0,1120043,greedy,0,-1,-1,27,0.96875
1,logged_graph_minus_constrained,panel_0,0,1120044,greedy,0,0,-1,17,0.85
1,logged_graph_minus_constrained,panel_0,0,1120045,greedy,0,-1,-1,30,0.0
1,logged_graph_minus_constrained,panel_0,0,1120046,greedy,0,0,-1,2,0.0
1,logged_graph_minus_constrained,panel_0,0,1120047,greedy,0,0,0,0,-0.375
1,logged_graph_minus_constrained,panel_0,0,1120048,greedy,0,-1,-1,27,0.84375
1,logged_graph_minus_constrained,panel_0,0,1120049,greedy,0,-1,-1,27,0.375
1,logged_graph_minus_constrained,panel_0,0,1120050,greedy,0,-1,-1,29,0.75
1,logged_graph_minus_constrained,panel_0,0,1120051,greedy,0,0,0,0,0.0
1,logged_graph_minus_constrained,panel_0,0,1120052,greedy,0,0,-1,17,0.47368421052631576
1,logged_graph_minus_constrained,panel_0,0,1120053,greedy,0,-1,-1,26,0.875
