bank_id,condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
shared,shared,random_actions,0,30000,1,reference,panel_0,1120000,a41dbe9a8428e9fe1a443f1fea385c5f48068a72d867e956389f45a5c174dad4,0,1,4,0.96,1.086,1,3,0,4,4,3,0,0.038509000000000126,0.0,0,,random_actions,random_actions:panel_0:0:1120000:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1120000,a41dbe9a8428e9fe1a443f1fea385c5f48068a72d867e956389f45a5c174dad4,1,1,32,0.6799999999999999,0.9104000000000001,9,23,14,10,32,13,0,1.0818110597420025,0.0,0,,random_actions,random_actions:panel_0:0:1120000:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1120001,75f45f149a826338c99c32441bfe594ab90e2570be4cb5d3fff28b118feb2ef3,0,0,32,-0.3200000000000001,0.12520000000000014,9,23,17,7,29,11,1,1.8067611626271756,0.0,0,,random_actions,random_actions:panel_0:0:1120001:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1120001,75f45f149a826338c99c32441bfe594ab90e2570be4cb5d3fff28b118feb2ef3,1,0,32,-0.3200000000000001,0.13720000000000016,9,23,17,7,27,9,1,1.7474820848919588,0.0,0,,random_actions,random_actions:panel_0:0:1120001:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1120002,b7ed8291beddf9774f96715cdf2a5e4ff48ad547821fcd9a600cc9b9f0e08196,0,0,32,-0.3200000000000001,-0.0003999999999999282,11,21,17,5,28,9,1,1.8934652387762907,0.0,0,,random_actions,random_actions:panel_0:0:1120002:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1120002,b7ed8291beddf9774f96715cdf2a5e4ff48ad547821fcd9a600cc9b9f0e08196,1,0,32,-0.3200000000000001,-0.013599999999999793,14,18,12,7,29,8,1,1.9265830240888704,0.0,0,,random_actions,random_actions:panel_0:0:1120002:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1120003,93f766f648bb451dd063158fe6509cfd256d26ed02f8b9056ac39ca806ce361a,0,0,32,-0.3200000000000001,0.08400000000000016,12,20,14,7,28,8,1,1.8143956494083069,0.0,0,,random_actions,random_actions:panel_0:0:1120003:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1120003,93f766f648bb451dd063158fe6509cfd256d26ed02f8b9056ac39ca806ce361a,1,0,32,-0.3200000000000001,0.034800000000000095,6,26,16,11,30,13,1,1.9125206516164228,0.0,0,,random_actions,random_actions:panel_0:0:1120003:1
shared,shared,random_actions,0,30000,1,reference,panel_0,1120004,17b98fa248398a9fe3d3257d6befd99abcc38ca827386e205d27323006bd3e80,0,0,32,-0.3200000000000001,-0.1415999999999999,10,22,15,8,31,11,1,2.102584784800001,0.0,0,,random_actions,random_actions:panel_0:0:1120004:0
shared,shared,random_actions,0,30000,1,reference,panel_0,1120004,17b98fa248398a9fe3d3257d6befd99abcc38ca827386e205d27323006bd3e80,1,1,17,0.83,0.9652000000000001,5,12,7,6,17,7,0,0.5604792405000011,0.0,0,,random_actions,random_actions:panel_0:0:1120004:1
