bank_id,comparison,panel,seed,map_seed,mode,repetition,success_delta,efficient_success_delta,steps_delta,noop_rate_delta
1,balanced_minus_collected,panel_0,0,1040000,greedy,0,0,0,-15,0.39999999999999997
1,balanced_minus_collected,panel_0,0,1040001,greedy,0,0,0,0,-0.03125
1,balanced_minus_collected,panel_0,0,1040002,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040003,greedy,0,0,1,-19,-0.76
1,balanced_minus_collected,panel_0,0,1040004,greedy,0,0,0,-22,0.0
1,balanced_minus_collected,panel_0,0,1040005,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040006,greedy,0,-1,-1,31,0.96875
1,balanced_minus_collected,panel_0,0,1040007,greedy,0,0,1,-20,0.0
1,balanced_minus_collected,panel_0,0,1040008,greedy,0,0,0,-14,0.0
1,balanced_minus_collected,panel_0,0,1040009,greedy,0,0,-1,27,0.7931034482758621
1,balanced_minus_collected,panel_0,0,1040010,greedy,0,1,0,-15,0.5183823529411765
1,balanced_minus_collected,panel_0,0,1040011,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040012,greedy,0,0,-1,26,0.37037037037037035
1,balanced_minus_collected,panel_0,0,1040013,greedy,0,0,0,0,-0.09375
1,balanced_minus_collected,panel_0,0,1040014,greedy,0,0,0,0,0.3125
1,balanced_minus_collected,panel_0,0,1040015,greedy,0,0,0,-5,-0.5694789081885856
1,balanced_minus_collected,panel_0,0,1040017,greedy,0,0,1,-25,-0.5483870967741935
1,balanced_minus_collected,panel_0,0,1040018,greedy,0,0,1,-19,-0.7307692307692307
1,balanced_minus_collected,panel_0,0,1040019,greedy,0,-1,0,0,0.125
1,balanced_minus_collected,panel_0,0,1040020,greedy,0,-1,0,6,-0.20673076923076927
1,balanced_minus_collected,panel_0,0,1040021,greedy,0,1,1,-29,-1.0
1,balanced_minus_collected,panel_0,0,1040022,greedy,0,0,-1,19,0.7916666666666666
1,balanced_minus_collected,panel_0,0,1040023,greedy,0,0,1,-23,-0.9583333333333334
1,balanced_minus_collected,panel_0,0,1040024,greedy,0,0,-1,8,0.7272727272727273
1,balanced_minus_collected,panel_0,0,1040025,greedy,0,0,-1,17,0.37777777777777777
1,balanced_minus_collected,panel_0,0,1040026,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040027,greedy,0,1,0,-2,0.3375
1,balanced_minus_collected,panel_0,0,1040028,greedy,0,0,1,-23,-0.8846153846153846
1,balanced_minus_collected,panel_0,0,1040029,greedy,0,-1,-1,28,0.875
1,balanced_minus_collected,panel_0,0,1040030,greedy,0,1,0,-8,-0.20833333333333337
1,balanced_minus_collected,panel_0,0,1040031,greedy,0,0,-1,25,-0.3333333333333333
1,balanced_minus_collected,panel_0,0,1040032,greedy,0,0,-1,20,0.5
1,balanced_minus_collected,panel_0,0,1040033,greedy,0,1,1,-26,0.08333333333333331
1,balanced_minus_collected,panel_0,0,1040034,greedy,0,0,1,-24,-0.13793103448275862
1,balanced_minus_collected,panel_0,0,1040035,greedy,0,0,-1,25,0.4074074074074074
1,balanced_minus_collected,panel_0,0,1040036,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040037,greedy,0,0,0,0,0.53125
1,balanced_minus_collected,panel_0,0,1040038,greedy,0,1,1,-30,-0.9375
1,balanced_minus_collected,panel_0,0,1040039,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040040,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040041,greedy,0,0,1,-19,-0.8260869565217391
1,balanced_minus_collected,panel_0,0,1040042,greedy,0,0,1,-25,-0.8333333333333334
1,balanced_minus_collected,panel_0,0,1040043,greedy,0,0,0,7,-0.12
1,balanced_minus_collected,panel_0,0,1040044,greedy,0,0,1,-20,-0.8333333333333334
1,balanced_minus_collected,panel_0,0,1040045,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040046,greedy,0,0,0,-19,-0.3657407407407407
1,balanced_minus_collected,panel_0,0,1040047,greedy,0,0,0,1,0.25925925925925924
1,balanced_minus_collected,panel_0,0,1040048,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040049,greedy,0,1,0,0,-0.28125
1,balanced_minus_collected,panel_0,0,1040050,greedy,0,1,0,-12,-0.25
1,balanced_minus_collected,panel_0,0,1040051,greedy,0,0,-1,25,0.5555555555555556
1,balanced_minus_collected,panel_0,0,1040052,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040053,greedy,0,1,1,-27,-1.0
1,balanced_minus_collected,panel_0,0,1040054,greedy,0,0,0,0,-0.0625
1,balanced_minus_collected,panel_0,0,1040055,greedy,0,0,0,21,0.5555555555555556
1,balanced_minus_collected,panel_0,0,1040056,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040057,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040058,greedy,0,0,0,-2,0.0
1,balanced_minus_collected,panel_0,0,1040059,greedy,0,0,-1,22,0.8571428571428571
1,balanced_minus_collected,panel_0,0,1040060,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,0,1040061,greedy,0,0,0,-4,0.19034482758620686
1,balanced_minus_collected,panel_0,0,1040062,greedy,0,0,-1,16,0.3333333333333333
1,balanced_minus_collected,panel_0,0,1040063,greedy,0,1,0,-27,-0.4
1,balanced_minus_collected,panel_0,0,1040064,greedy,0,0,0,-8,-0.7142857142857143
1,balanced_minus_collected,panel_0,1,1040000,greedy,0,1,1,-28,-0.90625
1,balanced_minus_collected,panel_0,1,1040001,greedy,0,0,0,0,0.15625
1,balanced_minus_collected,panel_0,1,1040002,greedy,0,0,-1,19,0.4583333333333333
1,balanced_minus_collected,panel_0,1,1040003,greedy,0,0,-1,20,0.0
1,balanced_minus_collected,panel_0,1,1040004,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,1,1040005,greedy,0,0,0,4,-0.3216783216783217
1,balanced_minus_collected,panel_0,1,1040006,greedy,0,0,1,-25,-0.8846153846153846
1,balanced_minus_collected,panel_0,1,1040007,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,1,1040008,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,1,1040009,greedy,0,0,0,7,0.358974358974359
1,balanced_minus_collected,panel_0,1,1040010,greedy,0,1,0,-1,-0.0776209677419355
1,balanced_minus_collected,panel_0,1,1040011,greedy,0,0,-1,23,0.4482758620689655
1,balanced_minus_collected,panel_0,1,1040012,greedy,0,0,0,0,0.0
1,balanced_minus_collected,panel_0,1,1040013,greedy,0,0,0,0,-0.09375
1,balanced_minus_collected,panel_0,1,1040014,greedy,0,0,-1,8,0.0
1,balanced_minus_collected,panel_0,1,1040015,greedy,0,0,0,-18,-0.19285714285714295
1,balanced_minus_collected,panel_0,1,1040017,greedy,0,0,0,16,-0.006734006734006703
1,balanced_minus_collected,panel_0,1,1040018,greedy,0,0,0,-9,-0.18571428571428572
1,balanced_minus_collected,panel_0,1,1040019,greedy,0,0,0,0,0.25
