condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
collected_unique,learner,0,30000,1,greedy,panel_0,970000,7e206e89e6c6e167f1ce0183a19dc04540ed7c10aa0d86a02b7a99240c36f2c9,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.1346290137522127,2,0.054539561969986106,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970001,cabbfe7be51b92cbc1ec79ac1b984cff630903b345cf1a30803719733e0a67d0,0,0,32,-0.3200000000000001,0.015600000000000128,25,7,3,5,31,4,1,1.9562424462999997,6.709157751077465,32,0.04765727388824498,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970002,f99d62975d0aac76f97fb0dc90313150472aa088e89b48e058f1acb9363ad531,0,1,14,0.86,1.1324,0,14,8,7,14,10,0,0.31283600000000034,1.242876782415983,14,0.10661906358337853,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970003,e613853d5aa99e7fb158f8cd38e5e487b293c4bd3c05a9bd1efecbe591c764eb,0,1,12,0.88,1.1596,6,6,0,7,12,6,0,0.22433247239999998,0.7038413533125802,12,0.07002916445215074,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970004,0a96e7bbd9adb4973ac12fdbf12e6f5e2c78a444e2463daf33f05df48785e47c,0,1,24,0.7599999999999999,0.8336,17,7,2,6,24,4,0,0.9071807300000015,1.2099443445835445,24,0.04669343347167973,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970005,0722a229979d45c182e4a847ff7b7cd8cf41c66ced718fa311c1f49ad20b8b94,0,1,1,0.99,1.03,0,1,0,2,1,1,0,0.0,0.023899213926315332,1,0.023899213926315332,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970006,a6a6badd26cffc4798d18f53d8a388dbd42a391fb7ef9510791a11733d4fb935,0,1,4,0.96,1.1272,0,4,0,5,4,4,0,0.0,0.1560735637284634,4,0.045986732833891236,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970007,d9e7ab97d03ecf9e43d68908fefdf5943bb47949095cce85a405b3c505beb6a9,0,1,31,0.69,0.8472,28,3,0,4,31,3,0,1.111600000000002,2.658767463446438,31,0.0928311028104338,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970008,a2295212116f80587cf579fe76460214b1c3ac53c319c74cb9e006cb7ded5945,0,1,10,0.9,1.096,6,4,0,5,10,4,0,0.21739870859999977,0.24977516516465378,10,0.022891318791418397,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970009,6163fa3e55d8f8de0bc3c86b31eb46b75f7960da5ace9273485bfff4f3a3f388,0,1,28,0.72,0.9868000000000001,14,14,8,7,28,9,0,0.8843014215000005,1.6912844915592269,28,0.07541427611640009,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970010,87becae626b1c62c64d7c95dbe9f1062d6138259ce0f56e15e4a4c4801019995,0,0,32,-0.3200000000000001,0.2280000000000001,27,5,0,6,23,0,1,1.609272720229861,7.227447610630257,32,0.20951415397538692,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970011,0a3097d15d01d169fe9d1e8c6df9183dbff6bf8c1b40ef9465e442af62b31970,0,0,32,-0.3200000000000001,0.0984000000000001,23,9,8,2,27,4,1,1.7844829465313778,3.0192737613287353,32,0.02671164456563796,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970012,b134b67416b4f0eb3c10b67b641d7863b5c218e058cae783a20d9a98376e0f72,0,0,32,-0.3200000000000001,0.1432000000000001,32,0,0,1,27,0,1,1.7451192870275363,4.218087822331545,32,0.1306905120968161,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970013,366daf5c47ad678ba066881cb53b2e3499b89512246bc7caa483a0734184df56,0,0,32,-0.3200000000000001,0.14320000000000022,29,3,0,4,28,2,1,1.7667224677650015,4.077505719366139,32,0.11213606950378868,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970014,30a7b00759e00818e41cd351afd16d8ee476477fa788113244ea5029e8d8847d,0,0,32,-0.3200000000000001,0.028800000000000145,30,2,1,2,29,1,1,1.8909671886999986,3.421930589186634,32,0.11237195115657206,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
