comparison,panel,seed,map_seed,mode,repetition,success_delta,efficient_success_delta,steps_delta,noop_rate_delta
uniform_minus_collected,panel_0,0,970000,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970001,greedy,0,1,0,-18,-0.1383928571428571
uniform_minus_collected,panel_0,0,970002,greedy,0,0,0,9,0.7391304347826086
uniform_minus_collected,panel_0,0,970003,greedy,0,0,-1,18,0.30000000000000004
uniform_minus_collected,panel_0,0,970004,greedy,0,0,1,-23,-0.7083333333333334
uniform_minus_collected,panel_0,0,970005,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970006,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970007,greedy,0,0,1,-28,-0.9032258064516129
uniform_minus_collected,panel_0,0,970008,greedy,0,0,1,-6,-0.6
uniform_minus_collected,panel_0,0,970009,greedy,0,0,1,-24,-0.5
uniform_minus_collected,panel_0,0,970010,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970011,greedy,0,1,1,-27,-0.71875
uniform_minus_collected,panel_0,0,970012,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970013,greedy,0,1,1,-26,-0.90625
uniform_minus_collected,panel_0,0,970014,greedy,0,0,0,0,-0.03125
uniform_minus_collected,panel_0,0,970015,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970016,greedy,0,0,1,-13,-0.7222222222222222
uniform_minus_collected,panel_0,0,970017,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970018,greedy,0,0,1,-19,-0.6818181818181818
uniform_minus_collected,panel_0,0,970019,greedy,0,1,1,-28,-0.53125
uniform_minus_collected,panel_0,0,970020,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970021,greedy,0,0,1,-22,-0.7692307692307693
uniform_minus_collected,panel_0,0,970022,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970023,greedy,0,-1,0,3,0.21659482758620685
uniform_minus_collected,panel_0,0,970024,greedy,0,0,0,0,-0.15625
uniform_minus_collected,panel_0,0,970025,greedy,0,0,-1,20,0.8461538461538461
uniform_minus_collected,panel_0,0,970026,greedy,0,0,1,-14,-0.7368421052631579
uniform_minus_collected,panel_0,0,970027,greedy,0,0,0,1,0.16666666666666666
uniform_minus_collected,panel_0,0,970028,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970029,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970030,greedy,0,-1,0,8,0.5520833333333333
uniform_minus_collected,panel_0,0,970031,greedy,0,0,0,0,0.09375
uniform_minus_collected,panel_0,0,970032,greedy,0,0,1,-4,0.0
uniform_minus_collected,panel_0,0,970033,greedy,0,0,1,-10,-0.7058823529411765
uniform_minus_collected,panel_0,0,970034,greedy,0,0,1,-14,0.0
uniform_minus_collected,panel_0,0,970035,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970036,greedy,0,0,-1,22,0.7142857142857143
uniform_minus_collected,panel_0,0,970037,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970038,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970039,greedy,0,0,0,0,0.0625
uniform_minus_collected,panel_0,0,970040,greedy,0,0,-1,19,0.7307692307692307
uniform_minus_collected,panel_0,0,970041,greedy,0,0,1,-8,0.0
uniform_minus_collected,panel_0,0,970042,greedy,0,0,-1,23,0.8518518518518519
uniform_minus_collected,panel_0,0,970043,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970044,greedy,0,-1,0,5,0.17129629629629628
uniform_minus_collected,panel_0,0,970045,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970046,greedy,0,0,0,0,0.09375
uniform_minus_collected,panel_0,0,970047,greedy,0,1,1,-30,-0.71875
uniform_minus_collected,panel_0,0,970048,greedy,0,-1,0,5,0.2881944444444444
uniform_minus_collected,panel_0,0,970049,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970050,greedy,0,0,1,-20,0.031746031746031744
uniform_minus_collected,panel_0,0,970051,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970052,greedy,0,0,-1,8,0.7272727272727273
uniform_minus_collected,panel_0,0,970053,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970054,greedy,0,0,1,-10,-0.6666666666666666
uniform_minus_collected,panel_0,0,970055,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970056,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970057,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970058,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970059,greedy,0,1,0,-3,0.10237068965517238
uniform_minus_collected,panel_0,0,970060,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,0,970061,greedy,0,0,1,-6,-0.6
uniform_minus_collected,panel_0,0,970062,greedy,0,0,0,0,0.4375
uniform_minus_collected,panel_0,0,970063,greedy,0,1,1,-27,-0.71875
uniform_minus_collected,panel_0,1,970000,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,1,970001,greedy,0,0,-1,16,0.41666666666666663
uniform_minus_collected,panel_0,1,970002,greedy,0,0,0,1,0.5586206896551724
uniform_minus_collected,panel_0,1,970003,greedy,0,1,0,-2,-0.16874999999999996
uniform_minus_collected,panel_0,1,970004,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,1,970005,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,1,970006,greedy,0,0,0,0,0.0
uniform_minus_collected,panel_0,1,970007,greedy,0,-1,-1,29,0.9375
uniform_minus_collected,panel_0,1,970008,greedy,0,1,1,-28,-1.0
