condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
shared,random_actions,0,30000,1,reference,panel_0,970000,7e206e89e6c6e167f1ce0183a19dc04540ed7c10aa0d86a02b7a99240c36f2c9,0,1,3,0.97,1.0524,1,2,0,3,3,2,0,0.03970000000000007,0.0,0,,random_actions,random_actions:panel_0:0:970000:0
shared,random_actions,0,30000,1,reference,panel_0,970000,7e206e89e6c6e167f1ce0183a19dc04540ed7c10aa0d86a02b7a99240c36f2c9,1,0,32,-0.3200000000000001,-0.1343999999999999,13,19,13,7,30,8,1,2.067426882400003,0.0,0,,random_actions,random_actions:panel_0:0:970000:1
shared,random_actions,0,30000,1,reference,panel_0,970001,cabbfe7be51b92cbc1ec79ac1b984cff630903b345cf1a30803719733e0a67d0,0,0,32,-0.3200000000000001,-0.01679999999999994,6,26,16,11,28,12,1,1.9062629287912916,0.0,0,,random_actions,random_actions:panel_0:0:970001:0
shared,random_actions,0,30000,1,reference,panel_0,970001,cabbfe7be51b92cbc1ec79ac1b984cff630903b345cf1a30803719733e0a67d0,1,0,32,-0.3200000000000001,0.06600000000000017,8,24,15,10,28,10,1,1.8411534993304217,0.0,0,,random_actions,random_actions:panel_0:0:970001:1
shared,random_actions,0,30000,1,reference,panel_0,970002,f99d62975d0aac76f97fb0dc90313150472aa088e89b48e058f1acb9363ad531,0,0,32,-0.3200000000000001,0.14440000000000022,16,16,10,7,28,7,1,1.765050877137649,0.0,0,,random_actions,random_actions:panel_0:0:970002:0
shared,random_actions,0,30000,1,reference,panel_0,970002,f99d62975d0aac76f97fb0dc90313150472aa088e89b48e058f1acb9363ad531,1,0,32,-0.3200000000000001,0.14320000000000024,12,20,14,7,26,8,1,1.7279840818112047,0.0,0,,random_actions,random_actions:panel_0:0:970002:1
shared,random_actions,0,30000,1,reference,panel_0,970003,e613853d5aa99e7fb158f8cd38e5e487b293c4bd3c05a9bd1efecbe591c764eb,0,0,32,-0.3200000000000001,0.13120000000000015,7,25,13,13,27,10,1,1.7617505312233788,0.0,0,,random_actions,random_actions:panel_0:0:970003:0
shared,random_actions,0,30000,1,reference,panel_0,970003,e613853d5aa99e7fb158f8cd38e5e487b293c4bd3c05a9bd1efecbe591c764eb,1,0,32,-0.3200000000000001,0.1660000000000002,6,26,19,8,26,11,1,1.7031792239539554,0.0,0,,random_actions,random_actions:panel_0:0:970003:1
shared,random_actions,0,30000,1,reference,panel_0,970004,0a96e7bbd9adb4973ac12fdbf12e6f5e2c78a444e2463daf33f05df48785e47c,0,0,32,-0.3200000000000001,-0.15759999999999996,8,24,13,12,27,7,1,2.032586986134292,0.0,0,,random_actions,random_actions:panel_0:0:970004:0
shared,random_actions,0,30000,1,reference,panel_0,970004,0a96e7bbd9adb4973ac12fdbf12e6f5e2c78a444e2463daf33f05df48785e47c,1,1,11,0.89,0.9564,2,9,4,6,11,5,0,0.38285092000000087,0.0,0,,random_actions,random_actions:panel_0:0:970004:1
