policy_id,threshold,seed,shortfall_per_10k,post_shift_shortfall_per_10k,false_alarm,false_mitigation_ticks,missed_crisis,response_delay_ticks,mitigation_ticks,post_shift_ticks
raw,0.0,31000,63930.0,106372.71214642264,True,139,False,1,339,601
raw,0.0,31001,43150.00000000001,71797.00499168053,False,0,False,1,339,601
raw,0.0,31002,46020.0,76572.37936772047,True,17,False,0,339,601
raw,0.0,31003,43810.0,72895.17470881864,False,0,False,2,339,601
raw,0.0,31004,63640.0,105890.18302828618,True,139,False,1,339,601
raw,0.0,31005,63270.0,105274.54242928453,True,139,False,1,339,601
raw,0.0,31006,63090.0,104975.04159733777,True,139,False,1,339,601
raw,0.0,31007,63850.0,106239.6006655574,True,139,False,1,339,601
raw,0.15,31000,63930.0,106372.71214642264,True,139,False,1,339,601
raw,0.15,31001,42990.00000000001,71530.78202995009,False,0,False,3,339,601
raw,0.15,31002,45130.0,75091.51414309484,True,11,False,0,339,601
raw,0.15,31003,43720.0,72745.42429284526,False,0,False,3,339,601
raw,0.15,31004,63640.0,105890.18302828618,True,139,False,1,339,601
raw,0.15,31005,63270.0,105274.54242928453,True,139,False,1,339,601
raw,0.15,31006,63090.0,104975.04159733777,True,139,False,1,339,601
raw,0.15,31007,63850.0,106239.6006655574,True,139,False,1,339,601
raw,0.3,31000,62740.0,104392.67886855241,True,130,False,0,339,601
raw,0.3,31001,42720.0,71081.53078202995,False,0,False,6,339,601
raw,0.3,31002,43099.99999999999,71713.81031613976,False,0,False,1,339,601
raw,0.3,31003,43520.0,72412.6455906822,False,0,False,6,339,601
raw,0.3,31004,63640.0,105890.18302828618,True,139,False,1,339,601
raw,0.3,31005,60230.0,100216.306156406,True,116,False,0,339,601
raw,0.3,31006,61170.0,101780.36605657238,True,123,False,0,339,601
raw,0.3,31007,63710.00000000001,106006.65557404327,True,138,False,1,339,601
raw,0.45,31000,53660.0,89284.5257903494,True,72,False,2,339,601
raw,0.45,31001,41360.0,68818.63560732114,False,0,False,7,339,601
raw,0.45,31002,42660.0,70981.69717138103,False,0,False,2,339,601
raw,0.45,31003,42880.0,71347.7537437604,False,0,False,7,339,601
raw,0.45,31004,59320.00000000001,98702.16306156406,True,107,False,0,339,601
raw,0.45,31005,47779.99999999999,79500.83194675541,True,36,False,0,339,601
raw,0.45,31006,45439.99999999999,75607.32113144759,True,18,False,1,339,601
raw,0.45,31007,49910.0,83044.92512479202,True,46,False,3,339,601
raw,0.6,31000,41590.0,69201.33111480865,False,0,False,8,339,601
raw,0.6,31001,39860.0,66322.79534109817,False,0,False,10,339,601
raw,0.6,31002,41390.0,68868.55241264559,False,0,False,5,339,601
raw,0.6,31003,41320.0,68752.07986688853,False,0,False,9,339,601
raw,0.6,31004,41890.0,69700.49916805324,True,1,False,3,339,601
raw,0.6,31005,40580.0,67520.7986688852,False,0,False,5,339,601
raw,0.6,31006,40580.0,67520.7986688852,False,0,False,7,339,601
raw,0.6,31007,40679.99999999999,67687.18801996672,False,0,False,4,339,601
raw,0.8,31000,38950.0,64808.652246256235,False,0,False,11,339,601
raw,0.8,31001,39170.0,65174.70881863561,False,0,False,13,339,601
raw,0.8,31002,39120.0,65091.51414309485,False,0,False,7,339,601
raw,0.8,31003,38800.0,64559.06821963394,False,0,False,12,339,601
raw,0.8,31004,39610.0,65906.82196339435,False,0,False,6,339,601
raw,0.8,31005,38470.0,64009.983361064886,False,0,False,10,339,601
raw,0.8,31006,39400.0,65557.40432612313,False,0,False,13,339,601
raw,0.8,31007,39040.0,64958.402662229615,False,0,False,11,339,601
raw,1.0,31000,38010.0,63244.59234608985,False,0,False,15,339,601
raw,1.0,31001,39830.0,66272.8785357737,False,0,False,16,339,601
raw,1.0,31002,38070.0,63344.42595673876,False,0,False,10,339,601
raw,1.0,31003,39400.0,65557.40432612313,False,0,False,16,339,601
raw,1.0,31004,37690.0,62712.146422628946,False,0,False,10,339,601
raw,1.0,31005,37710.0,62745.42429284526,False,0,False,13,339,601
raw,1.0,31006,38480.0,64026.62229617304,False,0,False,16,334,601
raw,1.0,31007,38440.0,63960.06655574043,False,0,False,14,339,601
raw,1.3,31000,55450.0,92262.89517470881,False,0,False,21,248,601
raw,1.3,31001,58900.0,98003.32778702163,False,0,False,21,230,601
raw,1.3,31002,54950.0,91430.94841930116,False,0,False,16,253,601
raw,1.3,31003,61210.00000000001,101846.921797005,False,0,False,21,227,601
raw,1.3,31004,55380.0,92146.42262895175,False,0,False,16,252,601
raw,1.3,31005,56230.0,93560.73211314475,False,0,False,17,247,601
raw,1.3,31006,64280.0,106955.07487520798,False,0,False,26,206,601
raw,1.3,31007,58170.0,96788.68552412646,False,0,False,19,239,601
raw,1.7,31000,88130.0,146638.9351081531,False,0,False,60,104,601
raw,1.7,31001,91900.0,152911.81364392678,False,0,False,27,83,601
raw,1.7,31002,89500.0,148918.46921797004,False,0,False,24,99,601
raw,1.7,31003,90010.0,149767.05490848585,False,0,False,26,97,601
raw,1.7,31004,91920.0,152945.0915141431,False,0,False,22,85,601
raw,1.7,31005,87899.99999999999,146256.23960066555,False,0,False,27,107,601
raw,1.7,31006,91160.0,151680.53244592345,False,0,False,55,88,601
raw,1.7,31007,90060.0,149850.2495840266,False,0,False,25,98,601
