bank_id,condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080000,f3dc95c605ae06adf0fde29273928e75179d4ec21930ec8911a77f8fdd8ba32f,0,1,3,0.97,1.0936,0,3,0,4,3,3,0,0.0,0.31678483902102783,3,0.11037195111602155,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080001,0b341b6c91216cfff99c455d0743366ef5655d1525a3e95efbc04f9c8320000b,0,1,14,0.86,1.0512000000000001,10,4,0,5,14,4,0,0.38509000000000126,0.6075731223764336,14,0.09516831112312005,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080002,759c051ef6ac1cac8a61347aca09eadb682d099d8add9927ab5c5d4a5f828a4e,0,1,13,0.87,1.1784000000000001,7,6,0,7,13,6,0,0.2386421857420291,0.8642020507910817,13,0.11255619284248802,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080003,cf9484470f3c91b1c908adf0930b61bc59b26e46154b13ec0ee43f62971627b5,0,1,4,0.96,1.1272,0,4,0,5,4,4,0,0.0,0.3546029993625071,4,0.12324382918368049,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080004,71779ae352e2b482b637efe5ff0ce18c7ff8b05ab74e21f2e87d981e95bf7039,0,1,6,0.94,1.198,0,6,0,7,6,6,0,0.0,0.222507904521381,6,0.04253069016268263,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080005,7ecab8876447c1e3a03aed125a7fca6ea78b09b2ae80ee028f43b6525df4e0ea,0,1,15,0.85,0.9600000000000001,9,6,3,4,15,4,0,0.5029990000000013,0.9862489660567084,15,0.04805921555603018,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080006,9e83b7c16d354ee2d0d9db52b0374270ce5793c21cbd9591d300fc2038ee4a6e,0,1,3,0.97,1.0936,0,3,0,4,3,3,0,0.0,0.3177122425902493,3,0.08894201005786267,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080007,c986fc4ad8dbfcfeb28f5dfeec8419d9bc4759130b495dcffd030b9a13558dff,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.25509042458713516,2,0.13374731763828265,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080008,e12fe7c5437bde3f6ee4f94560012957f8357894943029e7fcef84b01775e83f,0,1,9,0.91,1.0516,0,9,5,5,9,6,0,0.22758819000000063,0.4356618696573571,9,0.07124531050734847,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080009,eb1b32131db9d159f98967c0fbb5038d1a4fdb222608c8ee113374bf32ceda73,0,1,3,0.97,1.0936,0,3,0,4,3,3,0,0.0,0.35980302725504576,3,0.11917092514250469,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080010,cfbabfc1bad50019cd810c118657e3ee9d921d330853063ad2ce74b4d1d3bee4,0,0,32,-0.3200000000000001,0.06480000000000022,30,2,0,3,28,1,1,1.835325166582004,3.1017921787805824,32,0.1445085926059338,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080011,3bcb2de8e8278603d25a7aafb56c2d5d800d853f81ca291e9a175f718924e35e,0,0,32,-0.3200000000000001,0.25760000000000033,31,1,0,2,25,0,1,1.6108978878842737,3.428948897476983,32,0.07642344789936498,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080012,b089b460ee65bc447c4b72da68fd3daa4ec7c6effc767304bfbacceea5b9a0f9,0,1,12,0.88,1.0712000000000002,8,4,0,5,12,4,0,0.30352238000000065,0.7776820371465972,12,0.10904354226993249,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080013,3ed1f66d2cf580ccd4b785d8ecbd810220a192dacde9f58f2838f6523cbeb92b,0,1,20,0.7999999999999999,1.1408,12,8,1,8,20,7,0,0.49313273734100205,1.6976654738937922,20,0.14128813597490797,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080014,524f4ac3338b680c1e3b5b9f8eb157a3d88e3188139e148ee8c255e8a25f71ab,0,1,22,0.7799999999999999,0.9092000000000001,20,2,0,3,22,2,0,0.7701800000000025,2.2237915316347485,22,0.1760538004301833,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080015,f6c2c29a5be8e1bb1e625c3e2167020fb3cda364157083bcd9896c1189175085,0,0,32,-0.3200000000000001,0.03600000000000014,30,2,0,3,30,2,1,1.9097138120260038,2.8348869284153873,32,0.11075616426419199,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080016,7e2bcda22d39a23a7606abb2d966bef0b92357b6683e275278739f9269bbbf0e,0,1,5,0.95,1.162,0,5,0,6,5,5,0,0.0,0.30004598984988773,5,0.08122186345554883,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080017,9c0e44a3e87f45d7a0872174ffd295f6b326fd5ca691842c4440cdcc5565ddaf,0,1,1,0.99,1.03,0,1,0,2,1,1,0,0.0,0.13901752043533322,1,0.13901752043533322,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080018,7d905ecf17a970e367bfe7899b591548d86959530a056be953c984321de330bb,0,1,1,0.99,1.03,0,1,0,2,1,1,0,0.0,0.04345348569107052,1,0.04345348569107052,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080019,2892fc82f562c1239a55ee8e6e920c943514c07b0f4cf9cc3bf4b98892ef8da8,0,1,4,0.96,1.1272,0,4,0,5,4,4,0,0.0,0.4860806005842848,4,0.14936680013385784,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080020,4ca70dd7634c80611a45a2b13539e4312ca05acf2a99bf12954d3a5388caf36c,0,0,32,-0.3200000000000001,0.3052000000000003,28,4,0,5,26,3,1,1.590612295745792,4.467879381716319,32,0.14354547063858064,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1080021,4a9850897ea6050f456ac54993f2de507b3df36311f9fba1a53ed4d57ac598b8,0,0,32,-0.3200000000000001,-0.12559999999999988,31,1,0,2,31,1,1,2.0867610000000036,3.6153992932466132,32,0.07217848458255752,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
