bank_id,comparison,panel,seed,map_seed,mode,repetition,success_delta,efficient_success_delta,steps_delta,noop_rate_delta
1,recorded_minus_collected,panel_0,0,1080000,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080001,greedy,0,0,0,2,-0.2142857142857143
1,recorded_minus_collected,panel_0,0,1080002,greedy,0,-1,0,19,0.33653846153846156
1,recorded_minus_collected,panel_0,0,1080003,greedy,0,-1,-1,28,1.0
1,recorded_minus_collected,panel_0,0,1080004,greedy,0,-1,-1,26,0.875
1,recorded_minus_collected,panel_0,0,1080005,greedy,0,0,0,10,0.32000000000000006
1,recorded_minus_collected,panel_0,0,1080006,greedy,0,0,-1,21,0.875
1,recorded_minus_collected,panel_0,0,1080007,greedy,0,0,-1,22,0.0
1,recorded_minus_collected,panel_0,0,1080008,greedy,0,-1,0,23,0.4375
1,recorded_minus_collected,panel_0,0,1080009,greedy,0,0,-1,12,0.8
1,recorded_minus_collected,panel_0,0,1080010,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080011,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080012,greedy,0,0,0,9,0.1428571428571429
1,recorded_minus_collected,panel_0,0,1080013,greedy,0,-1,0,12,-0.16249999999999998
1,recorded_minus_collected,panel_0,0,1080014,greedy,0,0,1,-20,-0.9090909090909091
1,recorded_minus_collected,panel_0,0,1080015,greedy,0,0,0,0,0.0625
1,recorded_minus_collected,panel_0,0,1080016,greedy,0,-1,-1,27,0.3125
1,recorded_minus_collected,panel_0,0,1080017,greedy,0,-1,-1,31,1.0
1,recorded_minus_collected,panel_0,0,1080018,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080019,greedy,0,0,-1,11,0.2
1,recorded_minus_collected,panel_0,0,1080020,greedy,0,0,0,0,-0.03125
1,recorded_minus_collected,panel_0,0,1080021,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080022,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080023,greedy,0,-1,0,5,0.2222222222222222
1,recorded_minus_collected,panel_0,0,1080024,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080025,greedy,0,-1,-1,29,0.875
1,recorded_minus_collected,panel_0,0,1080026,greedy,0,0,0,-5,-0.3984962406015038
1,recorded_minus_collected,panel_0,0,1080027,greedy,0,0,0,-1,0.1430769230769231
1,recorded_minus_collected,panel_0,0,1080028,greedy,0,0,-1,20,0.9090909090909091
1,recorded_minus_collected,panel_0,0,1080029,greedy,0,-1,0,2,0.40208333333333335
1,recorded_minus_collected,panel_0,0,1080030,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080031,greedy,0,0,0,0,0.1875
1,recorded_minus_collected,panel_0,0,1080032,greedy,0,-1,-1,30,0.59375
1,recorded_minus_collected,panel_0,0,1080033,greedy,0,0,0,0,0.25
1,recorded_minus_collected,panel_0,0,1080034,greedy,0,0,1,-15,-0.3472222222222222
1,recorded_minus_collected,panel_0,0,1080035,greedy,0,0,1,-26,-0.7586206896551724
1,recorded_minus_collected,panel_0,0,1080036,greedy,0,0,0,18,0.15652173913043477
1,recorded_minus_collected,panel_0,0,1080037,greedy,0,0,1,-10,0.0
1,recorded_minus_collected,panel_0,0,1080038,greedy,0,0,0,0,0.0
1,recorded_minus_collected,panel_0,0,1080039,greedy,0,-1,-1,30,0.03125
1,recorded_minus_collected,panel_0,0,1080040,greedy,0,-1,-1,26,0.6041666666666667
1,recorded_minus_collected,panel_0,0,1080041,greedy,0,0,1,-20,-0.782608695652174
1,recorded_minus_collected,panel_0,0,1080042,greedy,0,0,-1,3,0.36111111111111116
1,recorded_minus_collected,panel_0,0,1080043,greedy,0,0,-1,12,0.8
1,recorded_minus_collected,panel_0,0,1080044,greedy,0,0,0,-3,-0.09259259259259267
1,recorded_minus_collected,panel_0,0,1080045,greedy,0,0,0,0,-0.5625
1,recorded_minus_collected,panel_0,0,1080046,greedy,0,0,-1,10,0.7368421052631579
1,recorded_minus_collected,panel_0,0,1080047,greedy,0,-1,-1,27,0.9375
1,recorded_minus_collected,panel_0,0,1080048,greedy,0,0,-1,23,0.84
1,recorded_minus_collected,panel_0,0,1080049,greedy,0,-1,0,12,0.20625000000000004
1,recorded_minus_collected,panel_0,0,1080050,greedy,0,0,-1,6,0.6666666666666666
1,recorded_minus_collected,panel_0,0,1080051,greedy,0,0,0,0,-0.0625
1,recorded_minus_collected,panel_0,0,1080052,greedy,0,-1,0,3,0.49353448275862066
1,recorded_minus_collected,panel_0,0,1080053,greedy,0,0,-1,17,0.23809523809523808
1,recorded_minus_collected,panel_0,0,1080054,greedy,0,0,0,-5,-0.03663003663003661
1,recorded_minus_collected,panel_0,0,1080055,greedy,0,0,0,-15,0.24
1,recorded_minus_collected,panel_0,0,1080056,greedy,0,1,1,-31,-1.0
1,recorded_minus_collected,panel_0,0,1080057,greedy,0,-1,0,20,-0.15625
1,recorded_minus_collected,panel_0,0,1080058,greedy,0,0,1,-19,-0.9047619047619048
1,recorded_minus_collected,panel_0,0,1080059,greedy,0,0,1,-21,-0.9545454545454546
1,recorded_minus_collected,panel_0,0,1080060,greedy,0,-1,-1,28,0.34375
1,recorded_minus_collected,panel_0,0,1080061,greedy,0,0,0,-7,-0.5648148148148148
1,recorded_minus_collected,panel_0,0,1080062,greedy,0,-1,-1,28,0.9375
1,recorded_minus_collected,panel_0,0,1080063,greedy,0,0,-1,20,0.6086956521739131
1,recorded_minus_collected,panel_0,1,1080000,greedy,0,0,0,0,0.0
