bank_id,condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060000,0dbb2ea4027bac398e7b3caeeaa0b857c2cbebce1de4b1d31502147e0087c537,0,1,19,0.8099999999999999,0.9308000000000001,15,4,0,5,19,3,0,0.655844000000002,0.7469269721746444,19,0.08240094717311852,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060001,298968fb7353881f0cd57b748c7d30928e88974ad4db0cdcd17b02016ec26fdb,0,1,27,0.73,1.0052,23,4,0,5,27,4,0,0.8356375981999993,4.345267739708509,27,0.05802197159001318,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060003,453ddaafccd34b4333e2906a6902160fcbfd1762065fa7004a4dd3222896421c,0,1,1,0.99,1.03,0,1,0,2,1,1,0,0.0,0.07734578376197812,1,0.07734578376197812,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060004,ea30a876d686f78340a583235558164ebf75051327aa7505df929a8ad496e09d,0,1,25,0.7499999999999999,0.9436,19,6,0,7,25,5,0,0.8325090000000014,2.0025503910983495,25,0.16666391861842797,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060005,5a0efdc312560c30396c4a9084cbe3b3e56875c63a82b30e177957e44b1613ca,0,0,32,-0.3200000000000001,0.11320000000000015,26,6,3,4,29,3,1,1.8172436633019273,5.3991552829414085,32,0.17445521411037895,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060006,72e2dfe11a8601b80ed10649c837527691ff00ac61f0098fa9afd1cae8dcaacf,0,1,21,0.7899999999999999,0.9776,17,4,0,5,21,4,0,0.6749000000000012,0.859738451596702,21,0.12435962629722283,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060007,73a6bc75537949da9fe893449a3f8f9a841a5dc2011cace0f59bf32e095573dc,0,1,3,0.97,1.0936,0,3,0,4,3,3,0,0.0,0.09124650752861627,3,0.021850065021940673,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060008,047ad7c8d89ca8988f33a0108a6d5c87557d707a680ba407dc0292f10ddc87b0,0,1,12,0.88,1.0604,8,4,0,5,12,4,0,0.3140270000000007,0.35826233256488804,12,0.06186698563419962,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060009,85ba52da4426dfd353098859e3fd7f28c723396924378a29aeadf720945e64fa,0,1,6,0.94,1.0284,0,6,2,5,6,4,0,0.15641800000000017,0.7099618327280423,6,0.13683078230464926,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
1,collected_unique,learner,0,30000,1,greedy,panel_0,1060010,fe53725e436302b2cec165d719144106c7e7f425c3e17643e41554c4cfac67f5,0,0,32,-0.3200000000000001,-0.07119999999999986,27,5,0,6,31,3,1,2.0357173205000025,3.590155853003398,32,0.06279378418340736,4b343d8f666b708c2787969681826871440f4c4fcca8bad009fbe053da272256,
